0.097,0.664,0.733,0.803,0.937,1.052,1.087,1.164,1.213,1.781,2.098,2.215,2.467,2.522,2.782,3.23,3.317,3.456,3.661,3.739,3.789,4.205,4.252,4.702,4.783,4.961,5.188,5.428,5.511,5.613,5.674,5.734,5.789,6.277,6.683,6.85,7.393,7.441,7.576,7.653,7.759,7.862,8.651,8.703,8.807,9.028,9.167,9.323,9.412,9.732,9.833,10.26,10.28,10.321,11.87,11.947,12.03,12.084,12.255,12.425,12.46,12.588,12.971,13.025,13.204,13.246,13.345,13.375,13.55,13.813,14.141,14.239,14.703,14.778,15.121,15.26,15.923,16.155,16.475,16.695,16.743,16.86,16.931,17.355,17.504,17.764,18.142,18.749,19.156,19.685,19.958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.726,0.78,0.801,1.078,1.172,1.308,1.557,1.826,2.061,2.434,2.567,2.626,2.865,2.946,3.01,3.137,3.197,3.714,3.856,4.041,4.058,4.245,4.309,4.428,4.583,4.646,5.02,5.089,5.12,5.322,5.426,5.598,5.638,5.934,5.985,6.151,6.215,6.29,6.603,6.743,7.76,7.816,8.411,8.514,8.566,8.694,8.848,8.905,8.949,8.995,9.032,9.212,9.267,9.326,9.421,9.762,9.923,10.001,10.227,10.287,10.492,10.735,10.762,11.164,11.565,11.617,11.775,11.863,11.996,12.091,12.263,12.61,12.741,13.259,13.509,13.7,13.868,14.079,14.433,14.639,14.931,15.018,15.289,15.529,16.302,16.615,16.896,17.271,17.466,17.667,17.746,17.816,18.102,18.417,18.663,18.954,19.103,19.254,19.536,19.769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.123,0.697,0.893,0.98,1.021,1.04,1.105,1.138,1.155,1.265,1.419,1.732,2.319,2.359,2.573,2.81,3.136,3.463,3.536,4.54,4.923,5.043,5.242,5.546,5.686,5.736,5.792,5.862,6.056,6.317,6.425,6.573,6.643,7.445,7.612,8.374,8.554,8.604,8.639,8.81,9.217,9.316,9.511,9.846,9.973,10.031,11.111,11.292,11.348,12.012,12.112,12.15,12.307,12.437,12.751,13.229,13.421,13.565,13.804,13.958,15.645,16.157,16.187,16.431,16.697,16.967,17.086,17.257,17.28,17.332,17.399,17.436,17.553,17.687,17.72,18.221,18.323,19.034,19.218,19.4,19.733,19.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.203,0.387,0.525,1.029,1.189,1.435,1.479,1.529,1.62,1.727,1.815,2.148,2.339,2.451,2.525,2.908,3.891,4.052,4.097,4.275,4.601,4.855,4.919,5.07,5.385,5.5,5.624,5.75,6.03,6.155,6.247,6.322,6.438,6.638,6.791,7.008,7.536,7.723,7.891,8.013,8.314,8.539,8.873,8.91,8.965,9.005,9.062,9.121,9.435,9.641,9.787,10.012,10.104,10.189,10.312,10.382,10.766,11.072,11.272,11.558,11.802,11.991,12.061,12.589,12.853,12.996,13.157,13.255,13.346,13.575,13.667,13.766,14.199,14.627,14.691,14.919,15.164,15.219,15.36,16.014,16.045,16.28,16.464,16.485,16.607,16.89,17.035,17.09,17.206,17.291,17.454,17.864,17.951,18.076,18.338,18.943,19.076,19.397,19.737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.034,0.133,0.192,0.247,0.446,0.533,0.563,0.73,0.863,0.913,1.03,1.096,1.324,1.358,1.417,1.457,1.555,1.652,1.757,1.809,2.297,2.625,2.807,2.893,3.104,3.296,3.826,3.869,3.994,4.092,4.114,4.412,4.499,4.782,4.872,5.094,5.198,5.451,5.513,5.532,6.255,6.313,6.411,6.692,7.116,7.525,7.996,8.779,9.01,9.286,9.445,9.907,10.007,10.201,10.276,10.322,10.362,10.765,10.828,10.932,11.381,11.426,11.792,11.899,11.99,12.196,12.263,12.375,12.662,12.698,12.739,12.88,13.104,13.144,13.21,13.232,13.292,13.325,13.378,13.455,13.492,13.617,14.249,14.831,14.94,15.002,15.494,15.666,15.728,15.884,16.01,16.057,16.155,16.183,16.248,16.711,16.831,16.866,16.898,17.013,17.14,17.221,17.578,18.035,18.236,18.717,19.063,19.104,19.475,19.653,19.782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.432,0.679,0.997,1.061,1.101,1.148,1.184,1.215,1.32,1.347,1.418,1.823,1.978,2.072,2.188,3.031,3.196,3.638,3.794,3.968,4.016,4.064,4.099,4.318,4.661,4.778,4.798,4.843,5.086,5.114,5.209,5.383,5.409,5.469,5.54,5.677,5.851,6.029,6.089,6.418,6.975,7.03,7.107,7.47,7.548,7.676,8.058,8.12,8.244,8.427,8.477,8.522,8.733,8.918,8.95,9.118,9.223,9.297,9.336,9.441,9.469,9.498,9.585,9.803,9.92,10.015,10.109,10.438,10.593,10.65,11.234,11.412,11.627,11.698,11.791,11.886,11.912,11.984,12.091,12.159,12.522,12.904,12.965,13.065,13.13,13.27,13.436,13.578,13.703,13.944,14.444,14.583,14.702,14.797,14.939,15.385,15.422,16.029,16.053,16.154,16.46,16.525,16.583,16.648,16.803,16.953,16.992,17.027,17.053,17.156,17.284,17.432,17.574,17.644,17.694,17.822,18.037,18.246,18.379,18.653,18.723,19.092,19.366,19.723,19.949
0.055,0.329,0.398,0.5,0.765,0.879,0.991,1.076,1.531,1.628,1.82,1.884,1.944,2.25,2.589,2.782,2.929,3.53,3.941,4.18,4.338,4.628,4.676,4.845,4.9,4.939,5.325,5.481,5.68,5.841,6.245,6.3,6.38,6.402,6.506,6.566,6.842,6.879,7.074,7.338,7.369,7.483,7.537,8.297,9.115,9.266,10.28,10.399,10.779,11.021,11.154,11.187,11.461,11.595,11.771,11.923,12.032,12.138,12.59,12.661,12.822,12.924,13.018,13.1,13.397,13.474,13.713,13.87,14.38,15.239,15.367,15.517,15.607,15.648,16.147,16.346,16.484,16.506,16.601,16.641,16.788,16.896,16.938,16.993,17.078,17.148,17.201,17.291,17.332,17.67,17.774,17.96,17.994,18.045,18.208,18.493,19.418,19.466,19.479,19.513,19.724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.629,0.861,1.065,1.413,1.439,1.825,1.976,2.006,2.248,2.345,2.469,2.633,3.262,3.342,3.461,3.768,3.856,3.996,4.137,4.502,4.639,4.885,5.047,5.081,5.119,5.243,5.295,5.396,5.455,5.497,5.692,5.937,7.06,7.124,7.393,7.726,7.778,7.862,8.239,8.404,8.505,8.552,8.576,8.643,8.674,8.819,9.13,9.332,9.417,9.454,9.537,9.566,9.651,9.739,9.798,9.898,9.983,10.179,10.295,10.992,11.585,11.634,12.593,12.671,12.873,12.948,13.204,13.285,13.358,13.405,13.514,13.654,13.747,13.979,14.131,14.253,14.594,14.684,14.882,14.996,15.147,15.342,16.347,16.385,16.526,16.643,16.693,16.765,16.874,17.087,17.437,17.56,17.789,17.819,17.875,17.907,18.074,18.317,18.428,18.868,18.964,19.235,19.277,19.613,19.832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.031,0.12,0.171,0.356,0.717,1.259,1.298,1.383,1.462,1.65,1.73,2.071,2.124,2.451,2.518,2.578,2.641,2.804,3.089,3.786,3.936,4.08,4.111,4.33,4.524,4.648,4.854,4.923,4.985,5.412,5.691,5.724,5.794,6.137,6.361,6.42,6.696,6.835,7.003,7.353,7.491,7.554,7.638,7.827,7.894,8.008,8.196,8.341,8.477,8.698,8.727,8.964,9.096,9.161,9.269,9.343,9.383,9.505,9.664,9.772,9.92,10.106,10.507,10.545,10.641,10.809,11.098,11.406,11.655,11.715,11.772,11.995,12.188,12.383,12.672,12.703,12.731,12.792,12.913,12.999,13.13,13.145,13.177,13.267,13.311,13.563,13.637,13.713,13.864,13.944,14.085,14.147,14.241,14.335,14.408,14.48,14.639,15.035,15.285,15.399,15.485,16.021,16.217,16.59,16.856,17.204,17.3,17.338,17.465,17.69,17.894,18.543,18.613,18.928,19.521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.306,0.828,1.059,1.64,1.681,1.718,2.099,2.188,2.462,2.595,2.663,3.064,3.234,3.354,3.472,3.537,3.595,3.725,3.973,4.199,4.516,4.602,4.648,4.749,4.79,4.826,4.849,4.976,5.091,5.141,5.445,5.501,5.646,5.666,6.185,6.439,6.617,7.705,7.749,7.901,7.957,8.02,8.35,8.432,8.488,8.526,8.55,8.991,9.066,9.187,9.333,9.385,9.537,9.602,9.666,9.801,9.859,9.907,9.939,10.38,10.579,11.009,11.571,11.731,11.858,11.928,11.946,12.062,12.681,13.034,13.058,13.101,13.156,13.207,13.297,13.345,13.536,13.57,13.601,14.018,14.301,14.36,14.402,14.521,14.635,14.683,15.014,15.142,15.56,15.666,15.748,15.852,15.938,16.376,16.603,16.778,16.816,16.855,17.309,17.513,17.57,17.668,17.73,17.918,18.983,19.252,19.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
