0.068,0.102,0.13,0.151,0.298,0.339,0.389,0.428,0.463,0.479,0.661,0.723,0.821,0.849,0.981,1.019,1.056,1.275,1.299,1.476,1.606,1.655,1.687,1.73,1.764,1.792,1.927,1.987,2.216,2.283,2.306,2.364,2.438,2.486,2.569,2.731,2.774,2.865,2.897,2.983,3.089,3.149,3.196,3.274,3.305,3.367,3.401,3.533,3.562,3.594,3.633,3.677,3.735,3.788,3.82,3.833,3.885,3.914,3.98,4.104,4.381,4.484,4.531,4.641,4.742,4.761,4.804,4.87,4.912,4.962,5.025,5.083,5.115,5.188,5.339,5.44,5.468,5.558,5.579,5.608,5.697,5.833,5.924,5.985,6.065,6.103,6.153,6.21,6.436,6.463,6.546,6.599,6.64,6.684,6.708,6.724,6.764,6.817,6.905,6.945,6.978,7.074,7.22,7.349,7.528,7.56,7.613,7.701,7.805,7.825,7.929,7.953,8.062,8.241,8.275,8.33,8.466,8.591,8.668,8.723,8.794,8.814,8.884,8.989,9.142,9.244,9.303,9.342,9.378,9.414,9.465,9.562,9.581,9.614,9.675,9.735,9.762,9.977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.041,0.081,0.125,0.163,0.198,0.316,0.355,0.476,0.516,0.594,0.652,0.676,0.748,0.77,0.816,0.889,0.999,1.042,1.138,1.172,1.191,1.247,1.353,1.411,1.532,1.614,1.627,1.667,1.775,1.799,1.999,2.05,2.075,2.112,2.208,2.235,2.325,2.346,2.414,2.452,2.506,2.584,2.626,2.706,2.785,2.811,2.959,3.065,3.14,3.212,3.379,3.443,3.507,3.539,3.612,3.664,3.705,3.759,3.801,3.834,3.876,3.936,4.009,4.05,4.077,4.172,4.311,4.521,4.552,4.612,4.681,4.714,4.777,4.959,4.999,5.042,5.548,5.584,5.598,5.713,5.791,5.838,5.907,5.943,6.046,6.119,6.297,6.327,6.352,6.46,6.605,6.651,6.68,6.71,6.842,6.91,7.047,7.123,7.188,7.222,7.237,7.272,7.286,7.333,7.367,7.386,7.555,7.655,7.676,7.74,7.812,7.847,7.886,8.069,8.114,8.212,8.234,8.287,8.365,8.408,8.449,8.47,8.513,8.592,8.608,8.734,8.779,8.921,8.984,9.046,9.107,9.198,9.293,9.368,9.503,9.624,9.651,9.677,9.837,9.849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.098,0.135,0.304,0.32,0.408,0.473,0.519,0.565,0.62,0.677,0.755,0.803,0.861,0.944,1.068,1.09,1.123,1.169,1.225,1.54,1.56,1.587,1.643,1.782,1.83,1.927,1.987,2.087,2.127,2.17,2.221,2.341,2.381,2.453,2.473,2.535,2.598,2.627,2.646,2.67,2.728,2.748,2.786,2.826,2.893,2.917,3.031,3.096,3.157,3.22,3.248,3.284,3.444,3.486,3.513,3.533,3.561,3.606,3.978,4.034,4.268,4.391,4.461,4.564,4.647,4.794,4.843,4.888,5.002,5.071,5.219,5.259,5.275,5.36,5.422,5.501,5.536,5.56,5.613,5.639,5.71,5.758,5.802,5.878,5.983,6.043,6.081,6.109,6.142,6.205,6.243,6.297,6.314,6.351,6.527,6.648,6.672,6.933,7.123,7.184,7.233,7.284,7.329,7.395,7.557,7.65,7.725,7.783,7.812,7.876,7.902,8.023,8.164,8.203,8.269,8.327,8.401,8.47,8.542,8.581,8.62,8.73,8.777,8.869,8.937,8.968,8.99,9.009,9.076,9.362,9.419,9.622,9.653,9.696,9.713,9.763,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03,0.043,0.114,0.21,0.249,0.294,0.364,0.459,0.558,0.599,0.622,0.651,0.794,0.839,0.869,1.075,1.098,1.125,1.207,1.38,1.513,1.686,1.761,1.845,1.872,1.925,2.031,2.063,2.171,2.195,2.241,2.269,2.341,2.429,2.555,2.589,2.67,2.693,2.778,2.869,2.909,3.0,3.172,3.308,3.452,3.473,3.527,3.676,3.711,3.736,3.842,3.878,3.956,4.044,4.065,4.089,4.196,4.244,4.28,4.462,4.515,4.555,4.612,4.821,4.919,4.959,4.998,5.02,5.069,5.15,5.175,5.292,5.333,5.375,5.452,5.552,5.589,5.677,5.71,5.794,5.842,5.915,6.183,6.221,6.277,6.45,6.558,6.578,6.618,6.636,6.664,6.804,6.849,6.864,6.964,7.126,7.186,7.228,7.264,7.313,7.337,7.356,7.677,7.726,7.804,7.864,8.117,8.209,8.311,8.488,8.572,8.613,8.651,8.673,8.703,8.786,8.906,8.977,9.043,9.142,9.311,9.387,9.43,9.507,9.543,9.626,9.668,9.685,9.713,9.878,9.916,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.053,0.274,0.296,0.333,0.376,0.538,0.608,0.693,0.814,0.908,0.995,1.045,1.087,1.217,1.271,1.314,1.471,1.563,1.586,1.639,1.713,1.798,1.855,1.919,1.945,1.962,2.053,2.131,2.37,2.509,2.541,2.619,2.653,2.815,2.981,3.082,3.158,3.34,3.38,3.436,3.462,3.521,3.567,3.631,3.658,3.699,3.741,3.793,3.817,3.851,3.946,3.965,4.153,4.183,4.208,4.261,4.319,4.473,4.505,4.569,4.744,4.789,4.807,4.924,5.001,5.085,5.349,5.413,5.458,5.487,5.54,5.643,5.713,5.741,5.802,5.864,5.919,5.964,6.092,6.157,6.223,6.264,6.298,6.351,6.393,6.476,6.537,6.599,6.655,6.76,6.795,6.954,7.035,7.094,7.185,7.255,7.455,7.515,7.65,7.69,7.734,7.781,7.815,7.91,8.003,8.189,8.242,8.316,8.385,8.484,8.64,8.826,8.893,8.97,9.041,9.082,9.157,9.188,9.321,9.371,9.514,9.532,9.574,9.605,9.669,9.728,9.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.028,0.105,0.126,0.215,0.296,0.346,0.46,0.612,0.712,0.808,0.837,0.866,0.924,0.98,1.098,1.12,1.188,1.203,1.296,1.349,1.38,1.398,1.459,1.49,1.532,1.575,1.591,1.623,1.768,1.838,1.863,1.987,2.027,2.054,2.133,2.177,2.254,2.318,2.393,2.417,2.573,2.624,2.693,2.744,2.77,2.812,2.883,2.975,3.041,3.196,3.227,3.275,3.548,3.612,3.628,3.641,3.723,3.765,3.822,3.964,4.025,4.087,4.121,4.262,4.34,4.364,4.508,4.527,4.663,4.762,4.833,4.852,4.975,5.028,5.21,5.281,5.303,5.356,5.406,5.473,5.534,5.552,5.62,5.664,5.741,5.77,5.859,5.984,6.046,6.131,6.178,6.224,6.457,6.475,6.527,6.615,6.647,6.724,6.785,6.812,6.858,6.888,6.928,7.118,7.172,7.253,7.503,7.585,7.603,7.636,7.716,7.823,7.859,7.884,7.904,7.952,8.091,8.15,8.198,8.339,8.452,8.606,8.632,8.668,8.732,8.787,8.814,8.838,8.938,8.987,9.011,9.033,9.301,9.404,9.448,9.52,9.579,9.674,9.772,9.798,9.859,9.89,9.941,9.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.148,0.222,0.309,0.42,0.588,0.67,0.754,0.781,0.892,0.934,0.955,1.007,1.096,1.146,1.258,1.324,1.376,1.492,1.577,1.595,1.644,1.764,1.824,1.929,2.082,2.128,2.17,2.205,2.244,2.357,2.403,2.459,2.519,2.706,2.731,2.87,2.952,3.026,3.062,3.073,3.142,3.193,3.227,3.246,3.363,3.485,3.538,3.674,3.705,3.753,3.771,3.808,3.912,3.929,3.985,4.114,4.196,4.435,4.46,4.526,4.558,4.646,4.675,4.746,4.808,4.88,4.973,5.039,5.373,5.389,5.564,5.651,5.683,5.714,5.754,5.878,5.934,6.062,6.194,6.254,6.276,6.334,6.422,6.452,6.49,6.565,6.609,6.656,6.731,6.811,6.867,6.99,7.029,7.092,7.186,7.206,7.244,7.263,7.366,7.653,7.737,7.754,7.82,7.902,7.954,7.995,8.134,8.285,8.336,8.421,8.485,8.524,8.575,8.612,8.719,8.784,8.816,8.878,8.915,9.054,9.145,9.19,9.25,9.321,9.386,9.414,9.437,9.506,9.535,9.57,9.612,9.713,9.847,9.929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.118,0.137,0.316,0.436,0.475,0.511,0.589,0.645,0.724,0.871,1.097,1.126,1.162,1.189,1.437,1.549,1.568,1.874,2.0,2.092,2.18,2.233,2.376,2.434,2.461,2.495,2.642,2.685,2.755,2.79,2.826,2.849,2.962,3.004,3.067,3.079,3.117,3.145,3.199,3.272,3.351,3.388,3.408,3.441,3.473,3.513,3.603,3.742,3.757,3.944,3.969,4.016,4.06,4.078,4.1,4.15,4.187,4.209,4.252,4.338,4.378,4.554,4.659,4.777,4.837,5.01,5.13,5.154,5.187,5.218,5.309,5.386,5.406,5.423,5.529,5.571,5.621,5.669,5.811,5.861,5.887,5.917,5.975,6.013,6.062,6.395,6.443,6.477,6.544,6.611,6.671,6.726,6.787,6.846,6.928,7.029,7.057,7.11,7.147,7.198,7.29,7.331,7.667,7.927,7.978,8.004,8.033,8.097,8.125,8.195,8.221,8.378,8.411,8.518,8.66,8.74,8.764,8.811,8.944,8.976,8.994,9.047,9.088,9.2,9.23,9.258,9.333,9.367,9.453,9.541,9.581,9.644,9.713,9.759,9.793,9.826,9.89,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.086,0.146,0.195,0.286,0.33,0.522,0.671,0.683,0.725,0.822,0.866,0.946,0.979,1.02,1.087,1.151,1.194,1.249,1.43,1.663,1.684,1.76,1.827,1.858,1.895,1.909,1.935,2.152,2.212,2.251,2.283,2.314,2.407,2.501,2.608,2.7,2.776,2.878,2.897,2.922,3.044,3.1,3.123,3.168,3.24,3.331,3.385,3.451,3.511,3.607,3.667,3.688,3.761,3.778,3.81,3.886,3.944,3.963,4.062,4.179,4.234,4.342,4.467,4.51,4.644,4.71,4.756,4.779,4.92,5.011,5.038,5.183,5.214,5.238,5.297,5.399,5.49,5.576,5.675,5.718,5.751,5.892,5.92,5.964,6.028,6.069,6.176,6.249,6.268,6.374,6.501,6.531,6.561,6.684,6.716,6.739,6.77,6.798,6.822,6.852,6.899,6.95,6.981,7.024,7.06,7.136,7.157,7.291,7.327,7.407,7.476,7.504,7.583,7.687,7.719,7.771,7.807,7.824,7.874,7.91,7.981,8.034,8.063,8.113,8.134,8.271,8.307,8.363,8.405,8.438,8.47,8.486,8.533,8.618,8.685,8.803,8.911,8.95,9.146,9.177,9.331,9.351,9.412,9.441,9.52,9.551,9.569,9.599,9.654,9.718,9.824,9.864,9.965,nan,nan,nan,nan,nan,nan,nan
0.028,0.071,0.117,0.183,0.209,0.245,0.274,0.356,0.385,0.55,0.586,0.623,0.664,0.746,0.772,0.909,0.94,0.969,1.06,1.077,1.113,1.139,1.212,1.372,1.446,1.481,1.61,1.686,1.715,1.735,1.826,1.952,2.052,2.104,2.135,2.17,2.215,2.243,2.295,2.376,2.403,2.648,2.704,2.859,2.938,2.965,2.98,3.003,3.086,3.283,3.339,3.361,3.389,3.49,3.547,3.647,3.745,3.806,3.833,3.854,3.935,3.988,4.266,4.333,4.38,4.525,4.554,4.646,4.7,4.768,4.897,4.91,4.966,5.047,5.223,5.375,5.42,5.488,5.574,5.627,5.751,5.985,6.035,6.054,6.117,6.152,6.183,6.258,6.305,6.411,6.488,6.668,6.701,6.821,6.899,6.944,6.998,7.267,7.305,7.392,7.452,7.662,7.75,7.839,7.875,7.893,7.962,8.032,8.05,8.125,8.267,8.322,8.396,8.441,8.483,8.52,8.552,8.594,8.63,8.697,8.751,8.789,8.811,8.889,9.007,9.066,9.193,9.221,9.251,9.275,9.345,9.398,9.423,9.527,9.566,9.601,9.64,9.679,9.708,9.84,9.889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
