0.086,0.131,0.152,0.268,0.318,0.345,0.396,0.488,0.512,0.588,0.655,0.678,0.705,0.74,0.794,0.822,0.859,0.884,0.965,1.116,1.206,1.237,1.28,1.293,1.319,1.355,1.423,1.493,1.561,1.582,1.621,1.696,1.721,1.816,1.881,1.932,1.964,1.984,2.01,2.252,2.409,2.481,2.577,2.818,2.923,2.949,3.0,3.096,3.215,3.382,3.672,3.781,3.964,4.04,4.094,4.125,4.174,4.329,4.369,4.509,4.569,4.611,4.631,4.664,4.732,4.761,4.791,4.814,4.854,4.929,5.202,5.226,5.269,5.295,5.31,5.395,5.436,5.501,5.558,5.626,5.677,5.701,5.768,5.868,5.967,6.002,6.064,6.168,6.338,6.392,6.514,6.711,6.74,6.828,6.914,7.052,7.438,7.811,7.87,8.056,8.127,8.155,8.193,8.223,8.245,8.335,8.353,8.472,8.496,8.56,8.66,8.681,8.705,8.754,8.879,8.892,9.061,9.122,9.184,9.259,9.308,9.345,9.399,9.419,9.45,9.488,9.581,9.667,9.701,9.761,9.817,9.896,9.91,9.935,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.195,0.233,0.313,0.359,0.386,0.424,0.503,0.527,0.545,0.601,0.656,0.687,0.726,0.744,0.788,0.806,0.845,0.9,0.951,0.997,1.026,1.108,1.173,1.205,1.23,1.281,1.305,1.366,1.405,1.615,1.651,1.696,1.851,1.925,1.986,2.017,2.046,2.097,2.127,2.298,2.317,2.423,2.438,2.486,2.532,2.726,2.799,2.875,2.926,2.984,3.067,3.099,3.191,3.223,3.283,3.337,3.415,3.644,3.697,3.802,3.854,3.909,3.965,3.994,4.213,4.243,4.275,4.303,4.453,4.474,4.517,4.53,4.548,4.587,4.648,4.715,4.747,4.778,4.868,4.909,4.942,4.966,4.999,5.035,5.074,5.131,5.165,5.218,5.273,5.35,5.407,5.463,5.693,5.816,5.858,5.928,5.959,6.023,6.062,6.102,6.184,6.237,6.267,6.307,6.362,6.486,6.55,6.578,6.764,6.81,6.873,6.927,7.158,7.4,7.445,7.528,7.605,7.772,7.893,8.002,8.163,8.328,8.402,8.546,8.574,8.869,8.906,8.926,8.965,9.006,9.088,9.15,9.174,9.229,9.307,9.347,9.422,9.48,9.502,9.556,9.584,9.677,9.696,9.789,9.807,9.82,9.89,9.951,9.983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.126,0.245,0.304,0.339,0.359,0.481,0.535,0.606,0.838,0.856,0.89,0.959,1.007,1.042,1.112,1.139,1.182,1.313,1.342,1.354,1.451,1.533,1.64,1.671,1.688,1.811,1.845,1.946,1.965,2.037,2.125,2.214,2.26,2.279,2.347,2.394,2.763,2.938,3.015,3.088,3.168,3.246,3.336,3.431,3.459,3.539,3.557,3.863,3.987,4.025,4.061,4.186,4.213,4.245,4.269,4.346,4.476,4.508,4.53,4.565,4.668,4.791,4.867,4.975,5.007,5.043,5.137,5.168,5.229,5.263,5.285,5.317,5.398,5.416,5.435,5.515,5.55,5.59,5.616,5.633,5.664,5.694,5.736,5.81,5.901,5.967,6.023,6.073,6.197,6.278,6.424,6.449,6.528,6.583,6.702,6.758,6.785,6.963,7.096,7.162,7.191,7.256,7.554,7.586,7.717,7.776,7.826,7.872,7.914,7.958,8.016,8.059,8.216,8.37,8.437,8.57,8.628,8.694,8.732,8.776,8.845,8.925,8.952,9.07,9.092,9.149,9.246,9.27,9.307,9.332,9.373,9.452,9.486,9.529,9.617,9.654,9.691,9.784,9.848,9.863,9.907,9.953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.122,0.187,0.206,0.252,0.292,0.323,0.496,0.559,0.737,0.8,0.869,0.901,0.952,0.978,1.011,1.07,1.091,1.103,1.127,1.259,1.299,1.328,1.374,1.394,1.451,1.551,1.753,1.846,2.078,2.13,2.184,2.203,2.24,2.335,2.509,2.587,2.698,2.821,2.837,2.899,2.956,2.993,3.034,3.07,3.225,3.308,3.363,3.542,3.634,3.699,3.929,4.027,4.142,4.229,4.436,4.56,4.578,4.669,4.737,4.776,4.8,4.832,4.904,4.958,5.119,5.15,5.204,5.236,5.322,5.389,5.435,5.454,5.546,5.57,5.646,5.681,5.78,5.929,5.964,5.992,6.043,6.189,6.278,6.38,6.48,6.723,6.749,6.772,6.82,6.923,7.125,7.214,7.266,7.312,7.416,7.561,7.669,7.719,7.785,7.861,8.006,8.023,8.081,8.206,8.232,8.303,8.381,8.513,8.577,8.816,8.876,8.962,8.976,9.052,9.124,9.159,9.224,9.263,9.342,9.384,9.532,9.653,9.698,9.757,9.813,9.902,9.929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.172,0.2,0.235,0.299,0.325,0.419,0.507,0.545,0.581,0.679,0.778,0.806,0.874,0.921,0.954,1.015,1.063,1.122,1.181,1.224,1.269,1.292,1.312,1.345,1.366,1.386,1.448,1.522,1.569,1.617,1.64,1.716,1.86,1.922,1.963,2.001,2.071,2.143,2.206,2.267,2.413,2.46,2.592,2.702,2.731,2.772,2.884,3.313,3.394,3.468,3.526,3.821,4.005,4.034,4.093,4.112,4.199,4.329,4.441,4.515,4.599,4.671,4.694,4.729,4.848,4.924,4.965,5.0,5.048,5.092,5.128,5.178,5.208,5.252,5.32,5.401,5.415,5.434,5.495,5.522,5.552,5.613,5.724,5.756,5.856,5.889,5.919,5.955,6.02,6.051,6.073,6.156,6.434,6.479,6.677,6.698,6.755,6.894,7.022,7.132,7.164,7.239,7.319,7.464,7.521,7.637,7.675,7.793,7.896,8.024,8.064,8.089,8.185,8.208,8.233,8.266,8.321,8.395,8.417,8.59,8.718,8.775,8.832,8.873,8.94,8.994,9.04,9.059,9.143,9.183,9.213,9.278,9.303,9.326,9.554,9.631,9.8,9.835,9.889,9.917,9.941,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.083,0.155,0.22,0.281,0.334,0.406,0.502,0.537,0.574,0.606,0.635,0.667,0.813,0.894,0.985,1.014,1.062,1.089,1.112,1.189,1.237,1.301,1.336,1.357,1.381,1.433,1.45,1.502,1.552,1.595,1.613,1.648,1.726,1.749,1.874,2.022,2.093,2.323,2.56,2.645,2.905,3.06,3.092,3.252,3.483,3.557,3.584,3.602,3.705,3.863,4.118,4.216,4.319,4.361,4.453,4.504,4.562,4.598,4.712,4.764,4.846,4.909,5.08,5.146,5.188,5.331,5.375,5.397,5.426,5.444,5.638,5.656,5.708,5.734,5.849,5.964,5.997,6.161,6.2,6.24,6.319,6.347,6.418,6.455,6.7,6.743,7.197,7.253,7.301,7.43,7.52,7.588,7.63,7.728,7.767,7.8,7.928,7.963,8.002,8.068,8.175,8.225,8.236,8.254,8.272,8.318,8.395,8.425,8.446,8.479,8.519,8.649,8.792,8.853,8.906,8.937,8.982,9.016,9.151,9.193,9.232,9.255,9.356,9.483,9.526,9.656,9.689,9.774,9.93,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25,0.283,0.386,0.447,0.497,0.565,0.671,0.778,0.835,0.855,0.917,0.982,1.012,1.087,1.114,1.16,1.189,1.279,1.338,1.412,1.45,1.536,1.599,1.618,1.664,1.698,1.765,1.798,1.845,1.877,2.003,2.074,2.199,2.259,2.344,2.458,2.52,2.592,2.625,2.671,2.728,2.791,2.839,2.896,2.913,3.074,3.149,3.215,3.32,3.507,3.568,3.617,3.72,3.91,3.951,4.018,4.095,4.128,4.259,4.396,4.515,4.541,4.566,4.718,4.78,4.963,4.997,5.027,5.211,5.298,5.331,5.356,5.412,5.496,5.53,5.556,5.578,5.604,5.718,5.771,5.804,5.83,6.0,6.029,6.078,6.158,6.231,6.323,6.433,6.469,6.543,6.722,6.85,6.997,7.063,7.193,7.277,7.318,7.506,7.566,7.614,7.659,7.728,7.783,8.051,8.084,8.185,8.28,8.354,8.41,8.448,8.465,8.507,8.555,8.582,8.636,8.654,8.712,8.743,8.773,8.881,8.911,8.939,8.969,9.001,9.043,9.079,9.145,9.167,9.197,9.219,9.319,9.352,9.379,9.459,9.574,9.641,9.785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03,0.083,0.157,0.207,0.287,0.376,0.425,0.557,0.581,0.624,0.654,0.698,0.754,0.792,0.865,0.906,0.968,1.003,1.018,1.045,1.085,1.125,1.193,1.226,1.25,1.319,1.336,1.377,1.536,1.601,1.617,1.697,1.742,1.916,1.991,2.003,2.014,2.083,2.103,2.227,2.331,2.416,2.449,2.515,2.576,2.833,2.889,2.933,3.148,3.39,3.414,3.467,3.488,3.528,3.563,3.619,3.701,3.853,3.888,3.93,3.971,4.057,4.094,4.155,4.258,4.378,4.433,4.476,4.528,4.582,4.629,4.656,4.688,4.808,4.869,5.01,5.142,5.183,5.224,5.267,5.338,5.477,5.508,5.588,5.706,5.743,5.865,5.903,5.945,5.98,6.051,6.101,6.141,6.188,6.369,6.398,6.488,6.522,6.696,6.735,6.765,6.807,6.881,6.907,7.021,7.147,7.248,7.403,7.445,7.603,7.725,7.754,7.817,7.836,7.875,7.978,8.035,8.123,8.176,8.19,8.264,8.452,8.578,8.684,8.717,8.754,8.83,8.872,8.964,9.034,9.054,9.103,9.132,9.285,9.322,9.344,9.377,9.405,9.424,9.513,9.537,9.58,9.832,9.937,9.974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.126,0.149,0.19,0.219,0.32,0.353,0.384,0.415,0.456,0.517,0.71,0.747,0.808,0.846,0.887,0.916,1.001,1.072,1.099,1.204,1.288,1.32,1.339,1.383,1.417,1.444,1.466,1.499,1.521,1.568,1.594,1.649,1.691,1.735,1.777,1.808,1.833,2.036,2.159,2.19,2.392,2.447,2.573,2.695,2.731,2.804,2.919,3.022,3.277,3.354,3.443,3.454,3.57,3.588,3.614,3.675,3.703,3.844,3.892,3.986,4.006,4.048,4.191,4.252,4.316,4.35,4.425,4.482,4.613,4.642,4.759,4.808,4.84,4.927,4.985,5.072,5.12,5.184,5.229,5.248,5.34,5.381,5.408,5.468,5.488,5.525,5.566,5.703,5.767,5.816,5.85,5.958,6.03,6.066,6.141,6.221,6.286,6.357,6.494,6.519,6.54,6.746,7.052,7.098,7.113,7.157,7.188,7.392,7.437,7.483,7.52,7.561,7.755,7.828,7.937,8.105,8.545,8.683,8.704,8.767,8.786,8.873,8.899,8.954,9.06,9.076,9.094,9.137,9.218,9.244,9.262,9.366,9.391,9.455,9.511,9.531,9.574,9.617,9.638,9.72,9.781,9.847,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.099,0.224,0.29,0.327,0.381,0.405,0.436,0.499,0.599,0.626,0.647,0.688,0.909,0.988,1.057,1.081,1.139,1.181,1.226,1.25,1.267,1.297,1.314,1.344,1.4,1.446,1.48,1.61,1.648,1.693,1.811,1.872,1.919,1.953,2.116,2.219,2.295,2.376,2.463,2.864,2.89,2.925,3.061,3.148,3.59,3.659,3.695,3.752,3.862,3.889,3.975,4.025,4.191,4.229,4.252,4.266,4.281,4.392,4.443,4.541,4.645,4.73,4.908,5.05,5.175,5.21,5.261,5.325,5.388,5.406,5.499,5.533,5.808,5.834,5.997,6.046,6.145,6.166,6.189,6.329,6.363,6.573,6.608,6.785,7.028,7.14,7.24,7.423,7.536,7.573,7.593,7.748,7.801,7.88,7.961,7.991,8.023,8.058,8.11,8.138,8.176,8.307,8.361,8.43,8.463,8.592,8.623,8.696,8.723,8.837,8.858,8.889,8.911,8.93,8.981,9.01,9.053,9.119,9.15,9.28,9.311,9.332,9.363,9.473,9.652,9.665,9.691,9.75,9.818,9.869,9.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
