0.215,0.268,0.339,0.434,0.615,0.881,1.103,1.237,1.295,1.328,1.43,1.531,1.606,1.791,1.99,2.124,2.145,3.058,3.404,3.565,3.659,3.687,3.759,3.879,3.953,4.219,4.687,4.785,4.911,5.14,5.299,5.62,5.951,6.259,6.3,6.347,6.373,6.629,6.809,7.668,8.041,8.173,8.347,8.723,8.83,8.961,9.039,9.105,9.237,9.285,9.718,9.808,9.904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.068,0.311,0.45,0.616,0.761,0.875,0.972,1.406,1.886,2.122,2.259,2.462,3.133,3.29,3.417,3.707,4.224,4.665,5.326,5.381,5.492,5.845,5.98,6.434,6.523,6.555,6.755,6.936,6.962,7.131,7.466,7.716,8.321,8.476,8.595,8.812,9.127,9.815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.129,0.538,1.058,1.192,1.23,1.541,2.026,2.155,2.21,2.753,2.79,3.092,3.44,3.793,3.873,4.305,4.506,4.736,4.784,4.828,4.898,4.94,5.089,5.154,5.227,5.546,5.598,5.922,5.956,6.019,6.107,6.223,6.261,6.826,6.984,7.025,7.057,7.149,7.173,7.764,7.811,8.141,8.204,8.345,8.526,8.725,8.918,9.434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.116,0.242,0.404,0.477,0.705,0.766,1.172,1.313,1.39,2.042,2.197,2.257,2.323,2.377,2.444,2.521,2.602,3.048,3.153,3.294,3.827,4.064,4.114,4.259,4.325,4.414,4.621,4.902,4.939,5.013,5.37,5.417,5.533,5.873,5.935,6.191,6.46,6.489,6.61,7.284,7.316,7.421,7.523,7.702,7.817,8.009,8.183,8.277,8.565,8.649,8.826,8.9,9.039,9.146,9.293,9.722,9.88,9.985,nan,nan,nan,nan,nan,nan,nan
0.074,0.112,0.235,0.583,0.655,0.678,0.745,1.117,1.178,1.279,1.491,2.051,2.178,2.242,2.753,3.02,3.059,3.17,3.527,3.77,3.846,3.915,3.959,4.258,4.356,4.504,4.789,4.836,4.906,5.081,5.112,5.162,5.407,5.448,5.72,5.979,6.035,6.157,6.242,6.446,6.489,6.593,6.631,6.845,7.138,7.196,7.371,7.66,7.734,8.12,8.546,8.914,9.302,9.503,9.754,9.938,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.171,0.364,0.397,0.583,0.667,0.998,1.55,1.728,1.797,1.879,1.912,1.941,2.092,2.369,2.935,2.965,3.512,3.627,3.94,4.152,4.175,4.235,4.393,4.871,5.159,5.209,5.228,5.474,5.637,5.887,6.073,6.349,6.428,6.496,7.033,7.149,7.186,7.22,7.549,7.683,7.722,7.858,7.965,8.056,8.098,8.345,8.421,8.571,8.588,8.848,8.974,9.058,9.138,9.242,9.58,9.799,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,0.655,0.906,1.338,1.49,1.692,1.927,2.019,2.423,2.503,2.598,3.075,3.206,3.304,3.377,3.592,4.044,4.283,4.343,4.431,4.627,5.077,5.223,5.55,5.867,5.922,6.11,6.446,6.7,6.991,7.152,7.287,7.796,8.207,8.855,9.736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.397,0.998,1.056,1.156,1.284,1.336,1.489,1.675,1.744,1.969,2.139,2.28,2.325,2.572,2.869,3.324,3.369,3.556,4.046,4.311,4.407,4.513,4.869,4.916,5.0,5.057,5.133,5.277,5.304,5.427,5.478,5.726,5.782,5.861,6.106,6.26,6.326,6.395,7.005,7.464,8.13,8.192,8.269,8.305,8.356,8.367,8.738,8.795,8.828,8.895,8.922,8.999,9.035,9.115,9.244,9.314,9.459,9.639,9.688,9.827,nan,nan,nan,nan
0.092,0.192,0.226,0.435,0.6,0.685,0.972,1.054,1.143,1.2,1.245,1.456,1.64,1.765,1.907,1.998,2.861,2.992,3.092,3.155,3.323,3.46,3.56,3.621,3.919,4.241,4.653,4.702,4.83,5.622,5.643,5.863,6.115,6.153,6.52,7.087,7.119,7.218,7.288,7.391,7.571,7.793,7.887,7.953,8.156,8.427,8.711,9.15,9.253,9.308,9.338,9.387,9.586,9.602,9.688,9.724,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.154,0.323,0.461,0.578,0.65,0.99,1.216,1.443,1.601,1.919,2.117,2.204,2.5,2.686,2.739,2.886,2.958,3.344,3.665,3.918,4.261,4.771,4.907,4.97,5.212,5.4,5.895,6.176,6.275,6.358,6.518,6.76,6.848,6.995,7.217,7.484,7.542,7.625,8.089,8.149,8.494,8.543,8.652,8.73,8.898,9.123,9.614,9.771,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.342,0.37,0.418,0.54,0.598,1.215,1.331,1.391,1.544,1.659,1.801,1.907,2.165,2.902,2.942,3.039,3.485,3.76,4.155,4.269,4.562,4.768,5.08,5.144,5.185,5.266,5.313,5.36,5.44,5.47,5.669,5.94,6.102,6.267,6.379,7.009,7.352,7.384,7.841,7.982,8.099,8.211,8.777,8.948,9.093,9.288,9.872,9.997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.113,0.173,0.265,0.911,0.962,1.079,1.324,1.572,1.609,1.869,2.192,2.64,2.807,2.957,2.994,3.046,3.543,3.68,3.927,3.989,4.677,4.72,4.83,4.939,5.017,5.136,5.243,5.315,5.346,5.392,5.604,5.902,6.061,6.259,6.349,6.594,6.72,6.983,7.21,7.242,7.769,8.067,8.214,8.266,8.405,8.506,8.983,9.054,9.477,9.506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219,0.396,0.509,0.682,0.915,1.208,1.265,1.325,1.83,2.35,2.406,2.536,2.65,2.707,2.986,3.141,3.287,4.437,4.642,4.777,4.814,5.073,5.087,5.277,5.508,5.652,5.696,5.859,6.162,6.311,6.369,6.518,6.555,6.751,7.095,7.124,7.146,7.535,7.681,7.883,8.05,8.135,8.243,8.649,8.976,9.141,9.58,9.612,9.733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.825,1.252,1.284,1.505,1.574,1.615,2.055,2.31,2.495,2.553,3.14,3.242,3.474,3.927,4.116,4.133,4.442,4.591,4.795,4.853,5.099,5.128,5.642,5.884,6.312,6.342,6.447,6.487,6.762,6.911,7.114,7.16,7.182,7.512,7.601,7.919,8.025,8.338,8.673,9.001,9.04,9.078,9.251,9.57,9.636,9.695,9.807,9.837,9.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
