0.144,0.172,0.192,0.255,0.367,0.388,0.404,0.579,0.597,0.617,0.668,0.729,0.765,0.791,0.878,0.928,0.954,0.992,1.045,1.071,1.204,1.281,1.334,1.364,1.389,1.419,1.545,1.576,1.614,1.726,1.752,1.769,1.804,1.871,1.913,2.005,2.07,2.163,2.46,2.782,2.97,3.274,3.366,3.576,3.772,3.791,3.949,3.983,4.124,4.167,4.196,4.352,4.569,4.732,4.836,4.852,4.89,4.942,5.05,5.09,5.143,5.222,5.311,5.354,5.409,5.441,5.491,5.518,5.597,5.632,5.654,5.705,5.913,6.011,6.081,6.125,6.209,6.272,6.343,6.397,6.441,6.464,6.549,6.623,6.782,6.829,6.857,6.891,6.93,7.086,7.28,7.367,7.418,7.483,7.575,7.668,7.792,7.851,7.89,7.978,8.038,8.187,8.222,8.425,8.538,8.584,8.613,8.64,8.675,8.695,8.802,8.824,8.882,8.921,8.955,9.036,9.089,9.172,9.202,9.271,9.306,9.356,9.425,9.523,9.555,9.584,9.627,9.66,9.682,9.77,9.803,9.921,9.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.112,0.17,0.212,0.435,0.504,0.582,0.622,0.65,0.674,0.701,0.759,0.786,0.926,0.991,1.007,1.024,1.071,1.105,1.128,1.298,1.324,1.372,1.399,1.434,1.454,1.542,1.567,1.614,1.656,1.695,1.725,1.743,1.769,1.816,1.847,2.01,2.177,2.333,2.378,2.462,2.483,2.523,2.568,2.583,2.608,2.71,2.784,2.858,2.901,2.945,2.978,3.007,3.069,3.216,3.443,3.525,3.652,3.888,4.008,4.05,4.106,4.229,4.272,4.428,4.459,4.55,4.581,4.653,4.751,4.797,4.833,4.876,4.904,4.957,5.046,5.124,5.183,5.224,5.283,5.31,5.355,5.373,5.484,5.59,5.684,5.717,5.748,5.817,5.952,6.017,6.031,6.094,6.133,6.317,6.377,6.446,6.493,6.605,6.638,6.664,6.676,6.768,6.807,6.848,6.891,6.998,7.059,7.098,7.168,7.193,7.269,7.407,7.459,7.544,7.608,7.777,7.817,7.875,7.899,7.998,8.015,8.171,8.206,8.231,8.315,8.339,8.383,8.421,8.596,8.621,8.643,8.663,8.747,8.797,8.952,9.018,9.046,9.1,9.135,9.162,9.19,9.289,9.32,9.559,9.604,9.628,9.685,9.794,9.845,9.903,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.021,0.244,0.433,0.462,0.542,0.587,0.646,0.685,0.72,0.742,0.779,0.938,1.017,1.164,1.178,1.206,1.222,1.275,1.289,1.38,1.546,1.589,1.706,1.734,1.769,1.837,1.881,1.917,1.957,2.048,2.106,2.227,2.306,2.326,2.346,2.401,2.557,2.648,2.681,2.747,2.79,2.818,2.918,3.102,3.136,3.35,3.63,3.671,3.831,3.868,3.924,4.063,4.102,4.141,4.18,4.225,4.289,4.336,4.443,4.479,4.536,4.587,4.625,4.694,4.733,4.826,4.929,5.004,5.062,5.077,5.151,5.217,5.29,5.389,5.426,5.456,5.518,5.538,5.55,5.586,5.622,5.67,5.753,5.815,5.844,5.952,6.053,6.129,6.168,6.198,6.237,6.329,6.391,6.416,6.472,6.496,6.639,6.661,6.714,6.76,6.845,6.91,6.952,7.013,7.18,7.258,7.406,7.423,7.61,7.812,7.96,7.99,8.085,8.145,8.308,8.328,8.365,8.389,8.468,8.581,8.74,8.83,8.853,8.952,9.018,9.046,9.144,9.23,9.243,9.28,9.307,9.327,9.379,9.402,9.438,9.51,9.552,9.589,9.636,9.709,9.785,9.827,9.87,9.982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.155,0.345,0.39,0.476,0.504,0.544,0.558,0.737,0.802,0.824,0.882,0.925,0.976,1.041,1.057,1.131,1.186,1.253,1.308,1.393,1.472,1.495,1.527,1.547,1.567,1.655,1.692,1.723,1.753,1.803,1.83,1.944,1.985,2.065,2.097,2.138,2.182,2.272,2.594,2.682,2.725,2.825,2.846,2.901,2.961,3.039,3.108,3.126,3.154,3.208,3.262,3.308,3.38,3.416,3.521,3.564,3.576,3.599,3.651,3.675,3.756,3.807,3.889,3.962,4.046,4.07,4.164,4.2,4.27,4.295,4.37,4.465,4.537,4.574,4.626,4.653,4.866,4.892,4.962,5.057,5.155,5.197,5.354,5.37,5.396,5.491,5.589,5.787,6.011,6.093,6.28,6.399,6.475,6.514,6.57,6.591,6.62,6.633,6.756,6.83,6.937,7.095,7.268,7.353,7.479,7.504,7.58,7.619,7.682,7.718,7.749,7.806,7.866,7.907,7.96,8.017,8.162,8.28,8.323,8.428,8.443,8.468,8.49,8.532,8.552,8.589,8.616,8.66,8.694,8.776,8.809,8.873,8.9,8.998,9.148,9.231,9.269,9.302,9.331,9.377,9.423,9.44,9.47,9.499,9.678,9.714,9.794,9.842,9.881,9.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.108,0.178,0.229,0.301,0.34,0.395,0.427,0.466,0.534,0.564,0.636,0.68,0.728,0.801,0.881,0.966,1.003,1.074,1.1,1.13,1.172,1.204,1.286,1.324,1.357,1.393,1.412,1.433,1.47,1.488,1.512,1.617,1.651,1.744,1.768,1.791,1.805,1.939,2.019,2.089,2.143,2.225,2.26,2.451,2.519,2.577,2.739,2.869,3.003,3.147,3.26,3.294,3.346,3.45,3.494,3.534,3.602,3.691,3.728,3.782,3.844,4.061,4.098,4.237,4.277,4.291,4.311,4.351,4.43,4.503,4.602,4.635,4.654,4.725,4.838,4.854,4.881,4.91,4.968,5.05,5.115,5.135,5.172,5.281,5.317,5.356,5.444,5.528,5.585,5.652,5.788,5.83,5.884,5.914,6.022,6.412,6.598,6.75,6.82,6.999,7.022,7.05,7.115,7.147,7.221,7.508,7.573,7.668,7.809,7.836,7.862,8.005,8.138,8.178,8.206,8.373,8.453,8.49,8.525,8.649,8.792,8.811,8.834,8.937,9.08,9.124,9.165,9.232,9.251,9.3,9.396,9.446,9.474,9.532,9.571,9.587,9.619,9.639,9.669,9.74,9.956,9.973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.083,0.165,0.192,0.206,0.224,0.286,0.324,0.443,0.467,0.581,0.686,0.764,0.793,0.866,0.907,0.928,1.017,1.055,1.089,1.119,1.208,1.274,1.311,1.404,1.464,1.494,1.523,1.558,1.593,1.664,1.846,1.925,1.958,1.997,2.072,2.199,2.258,2.301,2.36,2.4,2.468,2.536,2.597,2.643,2.719,2.746,2.868,2.895,2.949,2.966,3.006,3.093,3.247,3.388,3.426,3.516,3.622,3.676,3.689,3.784,3.934,3.989,4.01,4.024,4.072,4.118,4.164,4.263,4.283,4.358,4.494,4.507,4.638,4.705,4.731,4.8,4.894,4.935,4.958,5.013,5.027,5.219,5.302,5.337,5.358,5.428,5.542,5.592,5.642,5.669,5.699,5.779,5.815,5.847,5.945,6.08,6.123,6.205,6.26,6.506,6.568,6.589,6.669,6.718,6.847,7.107,7.284,7.335,7.478,7.541,7.621,7.633,7.693,7.818,7.877,7.947,8.054,8.139,8.185,8.226,8.258,8.289,8.332,8.405,8.425,8.482,8.543,8.573,8.655,8.744,8.797,9.03,9.131,9.171,9.206,9.23,9.255,9.292,9.335,9.378,9.437,9.454,9.508,9.519,9.539,9.602,9.657,9.732,9.762,9.875,9.914,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.019,0.099,0.143,0.183,0.23,0.38,0.398,0.411,0.451,0.487,0.534,0.567,0.602,0.629,0.654,0.709,0.892,0.942,0.982,1.045,1.064,1.091,1.119,1.186,1.225,1.25,1.313,1.359,1.376,1.403,1.418,1.515,1.706,1.783,1.839,1.875,1.968,2.042,2.092,2.15,2.211,2.326,2.429,2.528,2.592,2.753,2.804,2.839,2.887,2.963,3.13,3.204,3.233,3.384,3.446,3.599,3.619,3.747,3.771,3.868,3.947,4.094,4.115,4.143,4.222,4.249,4.359,4.387,4.43,4.482,4.528,4.752,4.773,4.88,4.903,4.957,5.064,5.077,5.16,5.188,5.212,5.235,5.291,5.335,5.359,5.415,5.428,5.447,5.501,5.557,5.604,5.657,5.691,5.75,5.785,5.963,6.028,6.141,6.213,6.401,6.512,6.582,6.62,6.688,7.044,7.07,7.231,7.331,7.43,7.489,7.686,7.873,7.969,7.991,8.027,8.09,8.205,8.241,8.307,8.381,8.475,8.554,8.583,8.624,8.664,8.717,8.743,8.759,8.79,8.823,8.843,8.913,8.946,9.001,9.025,9.045,9.104,9.145,9.269,9.368,9.434,9.509,9.571,9.664,9.786,9.856,9.887,9.917,9.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.129,0.201,0.334,0.374,0.44,0.509,0.564,0.623,0.64,0.663,0.849,0.9,0.946,1.068,1.098,1.126,1.191,1.311,1.342,1.371,1.394,1.418,1.542,1.621,1.666,1.75,2.051,2.091,2.164,2.181,2.298,2.329,2.451,2.516,2.634,2.732,2.761,2.865,2.88,2.903,2.923,2.978,3.102,3.165,3.268,3.369,3.51,3.528,3.706,3.761,3.822,3.889,3.925,3.97,4.065,4.093,4.124,4.169,4.244,4.269,4.321,4.354,4.41,4.428,4.51,4.552,4.666,4.702,4.808,4.825,4.891,4.944,5.068,5.154,5.273,5.329,5.354,5.528,5.686,5.746,5.782,5.847,5.975,6.025,6.1,6.18,6.229,6.47,6.626,6.73,6.812,6.871,6.897,6.92,6.941,6.997,7.057,7.084,7.105,7.14,7.175,7.236,7.252,7.42,7.584,7.614,7.758,7.835,7.902,8.052,8.159,8.194,8.231,8.297,8.39,8.409,8.578,8.604,8.668,8.738,8.841,8.9,8.924,9.029,9.071,9.099,9.139,9.165,9.204,9.32,9.342,9.437,9.484,9.502,9.709,9.743,9.765,9.82,9.924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.071,0.172,0.199,0.307,0.421,0.437,0.454,0.531,0.569,0.701,0.771,0.892,0.917,0.936,0.972,1.002,1.038,1.066,1.115,1.143,1.206,1.238,1.262,1.284,1.311,1.337,1.365,1.428,1.45,1.498,1.533,1.574,1.666,1.786,1.814,1.849,1.918,2.003,2.065,2.078,2.159,2.219,2.317,2.417,2.453,2.537,2.633,2.789,2.958,3.165,3.527,3.559,3.734,3.798,3.864,3.915,3.984,4.014,4.056,4.09,4.155,4.176,4.279,4.31,4.414,4.45,4.479,4.507,4.598,4.664,4.77,4.791,4.827,4.843,4.938,4.965,5.007,5.099,5.164,5.19,5.206,5.289,5.323,5.354,5.375,5.433,5.471,5.569,5.788,5.91,5.962,5.983,6.069,6.226,6.264,6.315,6.367,6.423,6.458,6.512,6.789,6.927,7.068,7.112,7.285,7.33,7.363,7.481,7.507,7.55,7.593,7.709,7.807,7.842,7.933,7.953,7.972,8.007,8.032,8.09,8.118,8.139,8.172,8.202,8.221,8.358,8.403,8.432,8.474,8.491,8.639,8.716,8.78,8.842,8.866,8.89,8.939,8.971,9.06,9.184,9.26,9.294,9.342,9.386,9.463,9.485,9.547,9.605,9.629,9.661,9.738,9.765,9.814,9.829,9.868,9.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.26,0.301,0.38,0.457,0.573,0.622,0.794,0.812,1.003,1.155,1.239,1.315,1.396,1.468,1.535,1.57,1.598,1.616,1.675,1.695,1.744,1.971,2.06,2.143,2.263,2.412,2.467,2.629,2.894,2.948,2.968,3.028,3.141,3.309,3.384,3.41,3.445,3.614,3.677,3.812,3.894,3.949,4.017,4.078,4.095,4.127,4.184,4.262,4.332,4.364,4.391,4.445,4.555,4.593,4.621,4.708,4.863,4.916,4.986,5.061,5.219,5.237,5.305,5.376,5.511,5.53,5.582,5.61,5.629,5.683,5.714,5.745,5.806,5.957,6.113,6.169,6.233,6.272,6.34,6.508,6.723,6.79,6.871,6.957,7.081,7.238,7.309,7.332,7.405,7.463,7.54,7.595,7.672,7.714,7.9,7.93,8.026,8.05,8.129,8.186,8.258,8.294,8.369,8.513,8.563,8.586,8.609,8.629,8.734,8.752,8.792,8.809,8.862,8.906,9.192,9.239,9.47,9.509,9.599,9.713,9.735,9.793,9.831,9.895,9.922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
