0.041,0.232,0.347,0.473,0.515,0.557,0.68,0.7,0.815,0.837,0.866,0.899,0.937,0.973,0.991,1.011,1.029,1.053,1.131,1.2,1.256,1.304,1.338,1.369,1.407,1.424,1.485,1.513,1.555,1.612,1.698,1.721,1.811,1.845,2.057,2.101,2.196,2.22,2.282,2.403,2.438,2.464,2.506,2.602,2.622,2.884,2.96,2.982,3.072,3.179,3.206,3.234,3.266,3.334,3.407,3.448,3.535,3.767,3.785,3.914,3.991,4.021,4.119,4.145,4.165,4.258,4.286,4.313,4.406,4.491,4.536,4.605,4.643,4.729,4.743,4.792,4.811,4.843,5.001,5.029,5.054,5.141,5.166,5.192,5.233,5.257,5.392,5.443,5.483,5.535,5.574,5.744,5.764,5.838,5.886,5.914,5.956,6.07,6.102,6.129,6.25,6.314,6.521,6.673,6.775,6.845,6.992,7.13,7.25,7.315,7.35,7.446,7.555,7.607,7.648,7.71,7.736,7.809,7.908,7.951,8.114,8.145,8.178,8.225,8.254,8.279,8.389,8.456,8.499,8.521,8.565,8.611,8.641,8.667,8.731,8.786,8.825,8.925,8.998,9.088,9.149,9.186,9.212,9.251,9.398,9.452,9.513,9.653,9.737,9.792,9.815,9.961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027,0.181,0.205,0.27,0.343,0.383,0.468,0.494,0.55,0.591,0.631,0.649,0.864,0.92,0.978,0.999,1.019,1.207,1.312,1.349,1.487,1.523,1.548,1.563,1.633,1.73,1.807,1.943,2.002,2.03,2.061,2.103,2.218,2.284,2.339,2.495,2.597,2.632,2.794,2.839,2.98,3.008,3.072,3.138,3.192,3.488,3.598,3.683,3.725,3.769,3.8,3.885,3.95,3.983,4.016,4.134,4.162,4.191,4.236,4.278,4.358,4.402,4.467,4.494,4.611,4.636,4.711,4.772,4.799,4.829,4.861,4.913,4.971,5.029,5.107,5.165,5.218,5.273,5.406,5.442,5.527,5.566,5.618,5.711,5.737,5.8,5.828,5.88,5.903,6.055,6.086,6.164,6.206,6.227,6.334,6.52,6.711,6.756,6.829,6.922,6.987,7.157,7.18,7.462,7.505,7.536,7.757,7.891,7.974,7.999,8.041,8.156,8.191,8.22,8.247,8.279,8.306,8.347,8.374,8.501,8.573,8.634,8.729,8.769,8.826,8.87,8.934,8.961,9.001,9.074,9.094,9.121,9.145,9.244,9.293,9.37,9.395,9.461,9.557,9.586,9.649,9.699,9.732,9.786,9.833,9.894,9.912,9.943,9.978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.036,0.104,0.183,0.232,0.264,0.364,0.491,0.62,0.732,0.821,0.922,0.939,0.991,1.082,1.192,1.24,1.315,1.377,1.4,1.541,1.574,1.623,1.742,1.787,1.874,1.992,2.061,2.107,2.257,2.278,2.306,2.48,2.624,3.009,3.102,3.172,3.297,3.442,3.471,3.836,3.938,4.046,4.107,4.199,4.227,4.285,4.345,4.437,4.46,4.5,4.54,4.639,4.676,4.695,4.808,4.881,4.94,4.968,5.003,5.031,5.167,5.184,5.216,5.241,5.314,5.386,5.419,5.445,5.483,5.535,5.587,5.647,5.696,5.717,5.751,5.917,5.983,6.022,6.051,6.116,6.149,6.177,6.221,6.346,6.502,6.629,6.686,6.793,6.997,7.088,7.252,7.448,7.495,7.567,7.625,7.711,7.813,7.851,7.911,8.045,8.074,8.125,8.163,8.353,8.39,8.656,8.698,8.725,8.756,8.795,8.834,8.942,8.967,8.983,9.017,9.128,9.164,9.2,9.254,9.321,9.35,9.54,9.641,9.723,9.792,9.824,9.839,9.887,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.118,0.206,0.275,0.381,0.411,0.431,0.46,0.488,0.521,0.572,0.597,0.649,0.732,0.766,0.8,0.829,0.89,0.956,1.052,1.078,1.104,1.155,1.172,1.313,1.373,1.462,1.492,1.528,1.547,1.63,1.719,1.784,1.835,1.852,1.979,2.068,2.093,2.126,2.174,2.199,2.23,2.321,2.47,2.732,2.776,2.798,2.836,2.878,2.928,2.96,3.011,3.061,3.134,3.257,3.294,3.346,3.42,3.605,3.713,3.733,3.759,3.848,3.956,4.084,4.185,4.273,4.331,4.412,4.508,4.546,4.628,4.665,4.68,4.717,4.761,4.785,4.925,5.047,5.156,5.249,5.307,5.339,5.365,5.425,5.448,5.485,5.507,5.541,5.643,5.743,5.775,5.803,5.824,5.905,6.09,6.136,6.205,6.275,6.313,6.346,6.399,6.434,6.503,6.617,6.744,6.847,6.966,7.01,7.058,7.232,7.358,7.389,7.512,7.68,7.751,7.914,7.976,8.135,8.17,8.239,8.273,8.338,8.432,8.473,8.502,8.533,8.683,8.696,8.717,8.781,8.84,8.86,8.884,8.907,9.011,9.04,9.063,9.092,9.155,9.222,9.258,9.41,9.54,9.596,9.639,9.673,9.702,9.769,9.817,9.892,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.134,0.164,0.195,0.287,0.31,0.371,0.396,0.512,0.567,0.67,0.693,0.815,0.91,0.968,1.082,1.132,1.25,1.285,1.316,1.398,1.431,1.464,1.489,1.523,1.55,1.617,1.641,1.659,1.693,1.807,1.833,2.014,2.037,2.089,2.176,2.223,2.251,2.318,2.37,2.406,2.446,2.482,2.547,2.599,2.62,2.65,2.682,2.696,2.878,2.961,3.022,3.088,3.11,3.136,3.237,3.315,3.393,3.666,3.693,3.782,3.814,3.842,4.007,4.089,4.121,4.222,4.281,4.321,4.416,4.459,4.479,4.539,4.591,4.764,4.798,4.94,4.986,5.008,5.026,5.056,5.108,5.177,5.228,5.265,5.502,5.529,5.606,5.759,5.855,5.887,6.021,6.063,6.089,6.11,6.166,6.225,6.257,6.277,6.316,6.368,6.392,6.439,6.476,6.616,6.702,6.795,6.819,6.92,6.974,7.028,7.122,7.155,7.333,7.409,7.444,7.518,7.687,7.733,7.86,7.893,7.97,8.133,8.261,8.4,8.455,8.541,8.584,8.634,8.744,8.767,8.89,8.916,8.939,8.977,9.07,9.186,9.398,9.425,9.452,9.522,9.559,9.591,9.627,9.711,9.879,9.942,9.993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089,0.131,0.202,0.24,0.292,0.392,0.412,0.604,0.643,0.675,0.695,0.836,0.895,0.934,1.018,1.067,1.127,1.181,1.233,1.27,1.333,1.357,1.388,1.438,1.557,1.625,1.698,1.729,1.768,1.797,1.857,1.931,1.949,1.973,2.002,2.22,2.315,2.344,2.397,2.484,2.579,2.635,2.657,2.778,2.847,2.878,3.109,3.246,3.39,3.484,3.564,3.61,3.739,3.803,3.828,3.856,3.903,3.951,3.968,4.02,4.06,4.09,4.13,4.202,4.255,4.329,4.423,4.469,4.493,4.552,4.64,4.755,4.793,4.849,4.873,4.895,4.972,4.988,5.21,5.319,5.409,5.438,5.512,5.598,5.684,5.758,5.946,5.987,6.026,6.07,6.132,6.279,6.321,6.448,6.509,6.618,6.633,6.718,6.775,6.818,6.852,6.902,6.936,6.964,7.016,7.028,7.255,7.288,7.368,7.43,7.457,7.494,7.559,7.571,7.645,7.706,7.752,7.788,7.816,7.953,8.0,8.028,8.097,8.137,8.175,8.214,8.268,8.327,8.354,8.429,8.48,8.507,8.553,8.596,8.812,8.837,8.868,8.982,9.011,9.049,9.074,9.102,9.248,9.266,9.307,9.373,9.503,9.572,9.677,9.737,9.824,9.867,9.969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.106,0.193,0.384,0.423,0.544,0.712,0.739,0.764,0.854,0.936,0.979,1.082,1.185,1.442,1.524,1.603,1.705,1.823,1.861,1.935,2.044,2.085,2.175,2.199,2.238,2.323,2.402,2.498,2.707,2.816,2.91,2.967,3.176,3.322,3.508,3.564,3.611,3.675,3.723,3.781,3.808,3.874,3.889,3.982,4.13,4.165,4.187,4.227,4.309,4.407,4.479,4.551,4.58,4.646,4.692,4.726,4.767,4.821,4.873,4.965,5.021,5.066,5.197,5.256,5.285,5.313,5.373,5.41,5.516,5.576,5.622,5.64,5.717,5.765,5.795,5.843,5.92,5.939,6.083,6.133,6.158,6.201,6.24,6.287,6.324,6.378,6.409,6.466,6.504,6.541,6.596,6.674,6.784,6.822,6.99,7.082,7.243,7.322,7.428,7.473,7.64,7.655,7.807,7.886,7.989,8.009,8.06,8.135,8.18,8.225,8.258,8.29,8.328,8.495,8.599,8.634,8.674,8.751,8.764,8.814,8.83,8.942,8.977,9.023,9.11,9.148,9.166,9.205,9.227,9.24,9.276,9.306,9.413,9.442,9.67,9.693,9.746,9.775,9.819,9.849,9.893,9.942,9.968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.038,0.067,0.089,0.123,0.143,0.206,0.282,0.352,0.485,0.565,0.634,0.678,0.705,0.731,0.745,0.772,0.816,0.853,0.863,0.925,0.949,1.014,1.071,1.098,1.175,1.194,1.216,1.232,1.265,1.284,1.334,1.375,1.44,1.46,1.483,1.571,1.591,1.639,1.685,1.722,1.765,1.821,1.897,2.161,2.233,2.288,2.393,2.503,2.526,2.617,2.704,2.833,3.105,3.138,3.18,3.469,3.52,3.561,3.695,3.799,3.834,3.863,3.986,4.078,4.144,4.172,4.257,4.295,4.462,4.531,4.655,4.714,4.768,4.825,4.9,4.97,5.024,5.054,5.128,5.265,5.299,5.336,5.402,5.466,5.56,5.606,5.624,5.666,5.756,5.804,5.9,6.01,6.193,6.258,6.501,6.73,6.747,6.778,6.807,6.829,6.927,7.059,7.15,7.259,7.285,7.583,7.608,7.871,7.927,8.072,8.179,8.246,8.425,8.458,8.625,8.646,8.668,8.692,8.896,8.925,8.993,9.028,9.072,9.1,9.118,9.164,9.224,9.25,9.342,9.368,9.388,9.429,9.471,9.487,9.646,9.89,9.905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03,0.1,0.135,0.158,0.2,0.258,0.286,0.313,0.462,0.565,0.635,0.676,0.704,0.725,0.775,0.812,0.875,0.914,0.953,1.023,1.065,1.15,1.245,1.285,1.37,1.409,1.496,1.607,1.752,1.772,1.813,1.84,1.874,1.991,2.011,2.085,2.157,2.207,2.228,2.251,2.276,2.343,2.455,2.55,2.791,3.101,3.179,3.196,3.208,3.348,3.438,3.494,3.507,3.646,3.755,3.842,3.924,4.018,4.123,4.157,4.2,4.331,4.421,4.533,4.737,4.773,4.873,4.98,5.04,5.093,5.147,5.21,5.402,5.456,5.482,5.529,5.544,5.692,5.786,5.857,5.983,6.01,6.069,6.162,6.198,6.27,6.303,6.358,6.687,7.136,7.218,7.238,7.55,7.624,7.643,7.86,7.956,7.991,8.057,8.085,8.11,8.145,8.234,8.394,8.419,8.447,8.554,8.587,8.612,8.681,8.716,8.767,8.881,8.901,8.94,8.983,9.024,9.048,9.081,9.16,9.292,9.322,9.336,9.396,9.463,9.515,9.599,9.641,9.684,9.708,9.724,9.77,9.808,9.86,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.127,0.213,0.236,0.289,0.307,0.333,0.421,0.44,0.463,0.484,0.528,0.576,0.599,0.632,0.731,0.803,0.848,0.877,0.905,0.969,1.07,1.1,1.137,1.154,1.202,1.229,1.317,1.393,1.543,1.645,1.766,1.814,1.856,1.941,2.132,2.2,2.307,2.352,2.442,2.636,2.801,2.825,2.879,2.928,2.959,3.081,3.245,3.363,3.397,3.48,3.515,3.743,3.791,3.856,3.887,4.008,4.095,4.134,4.2,4.327,4.357,4.408,4.423,4.458,4.499,4.591,4.671,4.725,4.768,4.818,4.855,4.926,4.947,4.999,5.086,5.11,5.26,5.308,5.356,5.476,5.587,5.679,5.695,5.705,5.966,6.079,6.165,6.208,6.323,6.335,6.384,6.437,6.476,6.544,6.602,6.628,6.711,6.76,6.844,6.883,6.925,7.117,7.163,7.194,7.294,7.321,7.377,7.509,7.641,7.665,7.861,7.918,8.133,8.182,8.259,8.332,8.374,8.399,8.428,8.491,8.546,8.614,8.704,8.743,8.772,8.825,8.853,8.953,8.986,9.052,9.123,9.152,9.226,9.361,9.392,9.426,9.596,9.659,9.769,9.849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
