0.199,0.294,0.546,0.732,0.758,1.09,1.264,1.366,1.432,1.555,1.671,1.733,1.779,2.4,2.999,3.28,3.681,3.875,3.995,4.272,4.686,5.019,5.062,5.323,5.463,5.724,5.805,6.021,6.531,7.333,7.375,7.687,7.909,7.937,7.984,8.086,8.234,8.708,8.781,9.151,9.508,9.546,9.712,9.805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.457,0.499,0.642,0.729,0.874,0.901,1.119,1.237,1.459,1.613,1.717,1.771,1.924,2.0,2.122,2.534,2.724,3.199,3.305,3.707,3.794,3.868,3.974,4.219,4.381,4.9,4.995,5.548,5.871,5.926,6.237,6.306,6.375,6.725,7.243,7.902,7.952,8.016,8.043,8.501,8.581,8.658,8.803,8.901,9.047,9.077,9.22,9.241,9.42,9.67,9.942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.155,0.223,0.36,0.419,0.736,0.788,0.827,0.94,1.16,1.469,1.552,1.699,2.022,2.461,2.752,3.295,3.366,3.807,3.928,4.119,4.195,4.279,4.45,4.527,4.632,4.838,5.11,5.24,5.294,5.375,5.512,5.914,5.945,6.677,6.948,7.499,7.595,7.859,8.003,8.342,8.377,8.407,8.73,8.803,8.947,9.094,9.316,9.615,9.756,9.908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.191,0.303,0.425,0.614,0.808,1.006,1.093,1.147,1.207,1.418,1.664,1.82,1.86,2.161,2.197,2.442,2.58,2.776,2.825,2.964,3.341,3.613,3.869,4.113,4.178,4.546,4.618,4.743,4.943,5.056,5.264,5.348,5.441,5.492,5.602,5.733,5.878,5.962,6.016,6.052,6.354,6.626,6.68,7.314,7.414,7.852,8.029,8.085,8.253,8.326,8.409,8.599,8.612,8.736,8.856,9.135,9.164,9.279,9.332,9.541,9.749,9.803,9.891,nan,nan,nan,nan,nan
0.057,0.56,0.865,1.029,1.083,1.121,1.242,1.266,1.346,1.464,1.736,1.902,1.949,2.189,2.243,2.466,2.668,3.011,3.519,3.807,3.994,4.028,4.108,4.266,4.44,4.49,4.73,4.751,4.964,4.997,5.186,5.297,5.469,5.511,5.95,6.046,6.072,6.139,6.967,7.298,7.399,7.414,7.513,7.557,7.64,7.87,7.915,8.007,8.43,8.492,8.518,8.593,8.71,8.999,9.204,9.415,9.587,9.668,9.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.342,0.502,0.539,0.658,0.736,0.837,0.902,0.979,1.068,1.157,1.437,1.656,1.89,1.949,2.253,2.306,2.494,2.724,3.328,3.95,4.002,4.424,4.59,4.618,4.832,5.108,5.196,5.227,5.43,5.471,5.678,5.71,5.76,6.932,7.685,7.853,8.0,8.604,8.813,8.989,9.19,9.283,9.315,9.614,9.678,9.712,9.754,9.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.071,0.137,0.235,0.286,0.339,0.604,0.749,0.82,0.917,0.932,1.014,1.071,1.088,1.262,1.318,1.379,1.67,2.273,2.82,3.293,3.536,3.649,3.842,4.408,4.478,4.511,4.609,4.645,4.672,4.699,4.795,4.851,4.884,5.031,5.292,5.422,5.477,6.062,6.232,6.34,6.408,6.459,6.874,6.937,7.928,8.557,8.605,8.657,8.765,8.825,8.976,9.009,9.192,9.245,9.371,9.404,9.456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.117,0.226,0.285,0.411,0.479,0.668,0.907,1.042,1.118,1.178,1.22,1.398,1.425,1.804,1.837,2.024,2.287,2.419,2.434,2.571,2.858,3.259,3.311,3.34,3.526,3.557,3.71,3.772,3.901,4.029,4.305,4.334,4.465,4.657,4.812,4.887,5.049,5.123,5.17,5.219,5.283,5.375,5.692,5.725,5.782,6.106,6.584,6.634,6.976,7.295,7.44,7.577,7.683,7.881,7.922,7.957,8.131,8.228,8.314,8.401,8.51,8.549,8.581,8.663,9.007,9.265,9.324,9.538,9.831
0.372,0.715,1.001,1.15,1.726,1.816,2.133,2.24,2.306,2.442,2.631,3.261,3.485,4.086,4.144,4.176,4.319,4.389,4.51,4.71,4.909,4.965,5.016,5.174,5.404,5.525,5.61,5.667,5.732,5.894,5.947,6.024,6.296,6.689,7.248,7.317,7.399,7.658,8.196,8.346,8.495,8.621,8.73,8.85,8.942,9.027,9.078,9.267,9.334,9.477,9.654,9.851,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.069,0.166,0.328,0.493,0.564,0.68,1.081,1.35,1.756,1.941,1.994,2.59,3.289,3.502,3.656,3.869,3.935,3.991,4.035,4.074,4.142,4.436,4.542,4.57,4.667,4.721,4.845,4.91,4.944,5.095,5.132,5.346,5.374,5.68,5.773,5.896,5.946,6.053,6.537,7.143,7.36,7.519,7.613,7.753,8.027,8.072,8.205,8.407,8.508,8.554,8.679,8.956,9.12,9.194,9.389,9.677,9.748,9.935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.219,0.445,0.579,0.714,1.081,1.16,2.087,2.357,2.616,2.841,2.973,3.142,3.207,3.43,3.6,3.986,4.325,4.571,5.021,5.039,5.224,5.532,5.596,5.716,5.755,5.84,5.979,6.407,6.549,7.224,7.508,7.674,8.013,8.243,8.295,8.42,8.465,8.498,9.233,9.343,9.425,9.502,9.549,9.691,9.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.081,0.277,0.31,0.464,0.626,0.693,0.969,1.003,1.141,1.182,1.508,1.601,1.688,1.807,1.988,2.009,2.06,2.134,2.586,3.013,3.094,3.501,3.584,3.667,3.872,3.982,4.257,4.447,4.544,4.767,4.847,4.988,5.067,5.24,5.351,5.449,5.484,5.955,6.056,6.116,6.268,6.863,7.23,7.421,7.657,7.705,7.787,7.838,7.954,8.288,8.362,8.604,8.662,8.701,8.83,8.963,9.208,9.309,9.373,9.608,9.658,9.879,nan,nan,nan,nan,nan,nan
0.394,0.739,0.792,0.93,1.068,1.292,1.32,1.694,1.72,1.86,1.939,2.055,2.162,2.257,2.321,2.482,3.107,3.826,3.893,4.114,4.274,4.376,4.442,4.539,4.701,4.975,5.356,5.86,6.065,6.361,6.642,6.919,7.407,7.557,7.849,8.223,8.623,8.788,8.9,8.989,9.031,9.088,9.123,9.256,9.548,9.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
