0.183,0.297,0.635,0.862,0.891,1.11,1.268,1.37,1.58,1.9,2.063,2.286,2.394,2.74,3.11,3.437,3.47,3.716,3.777,4.154,4.303,4.38,4.491,5.201,5.41,5.531,5.625,5.693,6.297,6.778,6.979,7.158,7.438,7.496,7.583,7.772,7.822,8.077,8.109,8.344,8.548,8.831,8.982,9.162,9.297,9.329,9.484,9.982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.743,0.933,1.18,1.256,1.439,1.563,1.905,2.227,2.265,2.472,2.607,2.641,2.879,2.992,3.07,3.194,3.263,3.431,3.462,3.503,3.588,3.753,3.899,3.938,3.97,4.034,4.056,4.166,4.201,4.228,4.28,4.599,4.705,4.952,5.191,5.373,5.912,5.968,6.012,6.731,6.831,7.151,7.193,7.279,7.346,7.529,7.852,8.012,8.141,8.287,8.461,8.785,9.288,9.57,9.701,9.811,nan,nan,nan,nan,nan,nan
0.057,0.124,0.751,1.263,1.415,1.442,2.022,2.084,2.167,2.315,2.442,2.637,2.696,2.817,2.842,2.873,3.002,3.476,3.516,3.87,4.016,4.167,4.385,4.427,4.616,4.76,5.358,5.446,5.482,5.619,5.907,6.016,6.099,6.344,7.073,7.223,7.258,7.308,7.765,7.833,7.897,8.088,8.221,8.364,8.56,8.669,8.71,8.778,8.867,9.388,9.467,9.646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.326,0.409,0.846,1.122,1.263,1.337,1.491,1.647,2.209,2.322,2.4,2.511,2.566,2.975,3.006,3.844,4.02,4.242,4.349,4.579,5.084,5.31,5.522,5.676,5.871,5.915,5.983,6.099,6.395,6.49,6.722,6.822,7.565,7.857,7.937,8.143,8.606,8.761,8.882,9.172,9.238,9.366,9.389,9.544,9.986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.508,0.789,0.99,1.039,1.16,1.442,1.499,1.581,1.62,1.656,1.726,2.036,2.109,2.513,2.569,2.728,2.828,2.853,2.94,3.034,3.079,3.159,3.439,3.702,3.752,3.863,3.986,4.084,4.156,4.187,4.448,4.682,4.854,4.985,5.321,5.425,5.465,5.706,5.942,5.995,6.082,6.207,6.697,6.977,7.012,7.096,7.158,7.377,7.462,7.745,7.776,7.911,8.006,8.278,8.294,8.398,8.472,8.656,8.861,9.156,9.422,9.525,9.879
0.21,0.307,0.526,0.961,1.151,1.565,1.753,1.891,2.013,2.063,2.089,2.133,2.179,2.657,2.803,3.254,3.291,3.486,3.521,3.586,3.745,4.021,4.249,4.414,4.5,4.607,4.664,4.803,4.997,5.403,5.448,5.465,5.699,5.739,5.826,5.918,6.035,6.136,6.205,6.539,6.56,6.689,6.906,7.009,7.21,7.371,7.5,7.758,7.917,8.052,8.627,8.939,9.057,9.737,9.788,9.949,nan,nan,nan,nan,nan,nan,nan
0.065,0.303,0.621,0.752,0.791,0.974,1.136,1.171,1.225,1.312,1.457,1.534,1.716,1.867,1.984,2.104,2.198,2.3,2.361,2.583,3.027,3.156,3.391,3.528,3.845,4.031,4.097,4.214,4.28,4.305,4.762,5.07,5.366,5.494,5.707,6.035,6.177,6.208,6.291,6.666,6.723,6.772,6.794,6.986,7.333,7.4,7.47,7.613,7.845,7.918,8.051,8.092,8.146,8.254,8.709,8.837,8.879,8.908,9.245,9.366,9.627,9.651,9.689
0.069,0.213,0.247,0.315,1.022,1.071,1.148,1.278,1.327,1.935,2.068,2.315,2.35,2.563,2.827,2.921,3.416,3.875,3.975,4.619,5.081,5.148,5.241,5.463,5.549,5.995,6.522,6.808,6.977,7.014,7.064,7.445,7.856,8.22,8.617,9.117,9.157,9.203,9.57,9.606,9.684,9.802,9.836,9.882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.541,0.603,0.654,0.739,1.035,1.233,1.662,1.967,2.201,2.542,3.086,3.146,3.436,3.558,3.607,3.917,3.99,4.102,4.219,4.308,4.39,4.561,4.768,4.9,4.921,5.069,5.108,5.154,5.304,5.367,6.004,6.094,6.145,6.214,6.291,6.415,6.502,6.526,6.746,7.153,7.221,7.33,7.415,7.471,7.894,7.966,8.022,8.32,8.577,8.626,9.035,9.141,9.182,9.415,9.459,9.536,9.712,9.79,9.848,nan,nan,nan,nan
0.136,0.376,0.462,0.637,0.866,1.122,1.247,1.398,1.604,1.73,1.898,2.01,2.076,2.214,2.241,2.849,2.879,3.033,3.366,3.907,3.978,4.46,4.573,4.808,4.888,5.104,5.274,5.481,5.719,5.867,5.918,6.082,6.212,6.633,7.305,7.562,7.69,8.143,8.175,8.24,8.577,8.646,8.796,8.965,9.362,9.569,9.685,9.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
