0.136,0.277,0.601,0.637,0.697,1.144,1.188,1.368,1.83,1.853,2.239,2.328,2.882,2.934,3.274,3.579,3.701,3.788,3.86,4.077,4.118,4.153,4.36,4.431,4.635,4.735,4.754,5.183,5.606,6.117,6.145,6.921,6.985,7.101,7.158,7.268,7.348,7.585,7.873,8.085,8.224,8.347,8.586,8.994,9.15,9.188,9.362,9.463,9.668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.181,0.331,0.655,0.778,1.035,1.578,1.61,1.935,2.104,2.182,2.73,2.947,2.989,3.008,3.265,3.612,3.754,3.888,4.028,4.157,4.509,4.716,5.347,5.539,5.915,6.817,6.941,7.047,7.228,7.269,7.525,7.934,8.673,8.909,9.018,9.239,9.573,9.832,9.864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.46,1.167,1.292,1.588,1.742,2.06,2.146,2.304,2.373,2.493,2.574,2.612,2.681,2.734,2.9,2.939,3.425,3.556,3.596,3.757,4.033,4.303,4.35,4.388,4.415,4.47,4.855,4.949,5.147,5.417,5.52,5.751,5.814,5.874,6.403,6.462,6.527,6.781,6.944,7.02,7.121,7.154,7.286,7.333,8.013,8.141,8.24,8.292,8.65,8.779,8.999,9.09,9.261,9.567,9.809,9.834,9.886,9.928,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.198,0.307,0.329,0.632,0.92,0.985,1.061,1.166,1.448,1.519,1.641,1.689,1.786,2.164,2.872,3.109,3.217,3.64,3.913,4.354,4.403,4.441,4.645,4.68,4.996,5.113,5.175,5.218,5.357,5.468,5.565,6.129,6.154,6.511,6.845,7.264,7.405,7.531,7.702,8.054,8.097,8.265,8.53,8.617,8.754,8.974,9.296,9.325,9.632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.13,0.461,0.556,0.648,0.784,1.023,1.186,1.36,1.575,1.645,2.102,2.181,2.27,2.31,2.519,2.65,2.86,2.929,3.062,3.156,3.333,3.473,3.54,3.573,3.649,3.774,3.978,4.255,4.34,4.491,5.168,5.637,6.424,6.89,7.36,7.482,7.561,7.617,7.714,7.776,7.946,7.989,8.026,8.49,9.236,9.595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.427,0.926,1.089,1.181,1.221,1.305,1.369,1.398,1.443,1.672,1.715,1.739,1.762,1.817,2.483,2.62,2.816,2.845,3.01,3.086,3.224,3.671,3.765,3.996,4.091,4.302,4.321,4.451,4.694,4.82,5.09,5.284,5.426,5.886,6.376,7.005,7.111,7.677,7.87,7.921,8.114,8.248,8.436,8.668,9.084,9.466,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.459,0.557,0.864,1.21,1.255,1.336,1.411,1.486,1.579,1.707,2.096,2.34,2.692,3.022,3.223,3.299,3.369,3.672,3.759,3.984,4.581,4.821,4.937,5.133,5.235,5.318,5.462,5.895,6.119,6.21,6.3,6.399,6.901,6.925,6.946,6.97,7.454,7.513,7.698,7.961,8.058,8.324,8.567,8.612,8.846,9.193,9.232,9.393,9.669,9.815,9.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.146,0.482,0.876,1.006,1.141,1.561,1.609,1.798,1.991,2.397,2.547,2.973,3.014,3.101,3.511,3.575,3.701,3.985,4.123,4.307,4.645,4.719,4.864,4.908,4.941,4.97,5.483,5.868,6.17,6.312,6.35,6.42,6.661,6.72,6.92,7.043,7.124,7.288,7.508,7.577,7.62,7.706,8.058,8.234,8.386,8.544,9.667,9.733,9.766,9.844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.209,0.277,0.361,0.422,0.479,0.69,0.757,1.113,1.154,1.447,1.851,1.883,2.145,2.292,2.706,2.797,2.859,3.017,3.064,3.251,3.309,3.373,3.494,3.839,3.968,4.068,4.242,4.361,4.702,4.802,4.877,4.958,5.039,5.224,5.359,5.57,5.957,6.026,6.264,6.468,7.086,7.4,7.48,7.521,7.645,7.866,7.892,7.933,8.24,8.304,8.651,8.689,9.649,9.762,9.823,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.062,0.209,0.467,0.502,0.894,1.055,1.338,1.633,1.787,1.829,2.029,2.222,2.492,2.617,2.84,3.046,3.391,3.449,3.638,3.862,4.001,4.233,4.272,4.305,4.538,4.743,4.808,5.055,5.288,5.424,5.475,5.769,5.941,6.32,6.403,6.487,6.656,6.923,7.071,7.117,7.237,7.345,7.416,7.712,7.893,8.181,8.25,8.533,8.572,9.011,9.287,9.344,9.413,9.591,9.785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
