0.031,0.051,0.139,0.222,0.357,0.373,0.458,0.532,0.567,0.649,0.718,0.761,0.831,0.847,0.937,1.027,1.093,1.134,1.194,1.272,1.399,1.451,1.487,1.599,1.683,1.74,1.756,1.803,1.849,1.867,1.881,1.916,2.023,2.107,2.263,2.294,2.381,2.478,2.507,2.533,2.578,2.597,2.741,2.809,2.992,3.23,3.342,3.485,3.575,3.588,3.645,3.756,3.837,3.868,3.91,3.929,3.954,4.022,4.069,4.133,4.25,4.305,4.372,4.393,4.449,4.63,4.67,4.693,4.787,4.86,4.935,5.031,5.049,5.125,5.201,5.335,5.457,5.527,5.543,5.57,5.72,5.781,5.837,5.878,6.061,6.169,6.185,6.433,6.542,6.592,6.623,6.647,6.69,6.808,6.949,7.042,7.085,7.194,7.238,7.275,7.366,7.465,7.526,7.546,7.57,7.712,7.773,7.813,7.903,7.924,7.967,8.018,8.092,8.12,8.451,8.491,8.715,8.76,8.816,8.847,8.9,8.985,9.095,9.162,9.188,9.272,9.29,9.429,9.487,9.592,9.633,9.653,9.714,9.811,9.892,9.947,9.969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.117,0.159,0.284,0.434,0.452,0.492,0.528,0.607,0.728,0.822,0.964,1.029,1.11,1.261,1.316,1.36,1.396,1.411,1.605,1.684,1.723,1.812,1.862,1.902,1.993,2.008,2.087,2.156,2.247,2.269,2.352,2.375,2.407,2.467,2.584,2.657,2.737,2.855,3.154,3.204,3.26,3.301,3.33,3.361,3.412,3.457,3.593,3.651,3.713,3.779,3.813,3.87,3.935,3.999,4.047,4.339,4.443,4.481,4.658,4.813,4.857,5.004,5.18,5.272,5.316,5.347,5.405,5.48,5.544,5.567,5.654,5.702,5.74,5.804,5.873,5.978,6.088,6.129,6.253,6.387,6.538,6.632,6.722,6.756,6.907,6.984,7.071,7.287,7.34,7.362,7.384,7.533,7.687,7.71,7.748,7.781,7.852,7.88,7.929,7.981,8.019,8.043,8.071,8.087,8.256,8.301,8.593,8.656,8.737,8.93,8.997,9.023,9.075,9.134,9.175,9.215,9.237,9.298,9.341,9.419,9.463,9.595,9.657,9.708,9.742,9.79,9.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.026,0.051,0.152,0.222,0.279,0.311,0.465,0.493,0.627,0.668,0.694,0.748,0.78,0.823,0.876,0.948,0.97,1.004,1.049,1.16,1.263,1.366,1.441,1.462,1.702,1.801,1.855,1.944,1.97,1.99,2.051,2.093,2.17,2.212,2.251,2.37,2.392,2.488,2.622,2.676,2.706,2.788,2.85,2.891,3.0,3.078,3.188,3.21,3.233,3.313,3.422,3.461,3.521,3.579,3.605,3.838,3.874,3.902,3.942,4.004,4.073,4.152,4.18,4.246,4.296,4.45,4.492,4.612,4.656,4.701,4.754,4.793,4.951,4.975,5.015,5.042,5.137,5.159,5.274,5.325,5.444,5.543,5.75,5.793,6.033,6.085,6.141,6.241,6.288,6.301,6.362,6.56,6.637,6.717,6.75,6.799,6.84,6.86,6.889,6.965,6.982,7.017,7.101,7.16,7.196,7.226,7.347,7.396,7.474,7.584,7.659,7.705,7.772,7.817,7.915,7.951,8.032,8.107,8.188,8.231,8.49,8.558,8.588,8.672,8.697,8.744,8.832,8.95,8.998,9.064,9.084,9.108,9.167,9.303,9.374,9.423,9.515,9.666,9.702,9.752,9.81,9.851,9.882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.158,0.33,0.355,0.453,0.484,0.51,0.579,0.613,0.643,0.7,0.748,0.817,0.844,0.887,1.057,1.082,1.127,1.206,1.314,1.37,1.387,1.412,1.519,1.639,1.659,1.682,1.732,1.805,1.838,1.886,1.924,1.95,1.977,2.078,2.154,2.23,2.262,2.309,2.363,2.854,2.936,3.022,3.124,3.208,3.303,3.457,3.56,3.588,3.73,3.779,3.934,3.992,4.067,4.257,4.325,4.355,4.405,4.495,4.55,4.62,4.789,4.813,4.846,4.912,4.977,5.046,5.096,5.139,5.165,5.241,5.274,5.388,5.41,5.516,5.575,5.652,5.675,5.869,5.935,5.99,6.255,6.313,6.397,6.434,6.639,6.685,6.698,6.816,6.854,6.907,6.948,7.055,7.076,7.126,7.176,7.245,7.286,7.33,7.419,7.55,7.635,7.675,7.853,7.91,7.986,8.028,8.153,8.182,8.252,8.305,8.428,8.466,8.572,8.592,8.674,8.763,8.789,8.807,8.827,8.847,8.875,8.963,9.202,9.215,9.234,9.293,9.496,9.547,9.572,9.724,9.758,9.89,9.924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.115,0.162,0.259,0.35,0.372,0.519,0.573,0.689,0.747,0.85,0.937,0.954,1.028,1.06,1.108,1.168,1.193,1.372,1.449,1.59,1.643,1.698,1.741,1.791,1.872,1.918,2.008,2.053,2.099,2.16,2.184,2.207,2.288,2.422,2.621,2.769,2.829,2.919,3.073,3.179,3.228,3.33,3.352,3.38,3.524,3.572,3.66,3.701,3.784,3.804,4.074,4.124,4.152,4.19,4.215,4.307,4.36,4.379,4.564,4.619,4.656,4.725,4.837,4.911,4.985,5.021,5.061,5.08,5.121,5.157,5.207,5.248,5.387,5.447,5.517,5.55,5.621,5.78,5.819,5.86,6.0,6.044,6.106,6.256,6.388,6.411,6.453,6.531,6.654,6.689,6.767,6.8,6.862,7.006,7.049,7.13,7.147,7.173,7.232,7.452,7.623,7.681,7.776,7.794,7.833,7.871,8.011,8.028,8.11,8.147,8.247,8.259,8.297,8.508,8.643,8.663,8.725,8.785,8.918,9.064,9.132,9.203,9.241,9.285,9.52,9.565,9.714,9.818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.021,0.105,0.185,0.221,0.272,0.301,0.34,0.445,0.474,0.551,0.579,0.604,0.662,0.692,0.745,0.798,0.862,0.885,0.926,0.949,0.995,1.063,1.18,1.277,1.376,1.491,1.524,1.562,1.612,1.768,1.98,2.013,2.182,2.197,2.306,2.325,2.342,2.378,2.484,2.546,2.605,2.667,2.784,2.845,2.889,2.916,3.25,3.303,3.348,3.403,3.438,3.471,3.536,3.84,3.858,3.92,3.958,4.106,4.143,4.208,4.228,4.304,4.35,4.432,4.501,4.67,4.826,4.866,4.919,4.991,5.099,5.178,5.232,5.264,5.308,5.336,5.359,5.405,5.433,5.591,5.629,5.701,5.745,5.767,5.835,5.905,6.115,6.211,6.302,6.485,6.506,6.524,6.596,6.694,6.723,6.766,6.8,6.915,6.955,7.087,7.15,7.212,7.326,7.428,7.487,7.633,7.661,7.721,7.852,7.904,7.968,8.028,8.076,8.107,8.164,8.188,8.248,8.261,8.406,8.469,8.51,8.666,8.736,8.788,8.814,8.896,8.962,9.016,9.088,9.117,9.168,9.271,9.315,9.33,9.366,9.385,9.415,9.523,9.596,9.665,9.715,9.754,9.874,9.989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092,0.153,0.19,0.204,0.252,0.321,0.335,0.495,0.529,0.576,0.618,0.629,0.761,0.805,0.897,0.915,1.014,1.065,1.082,1.12,1.148,1.209,1.235,1.282,1.336,1.386,1.44,1.495,1.595,1.624,1.733,1.829,1.886,1.914,1.961,2.056,2.141,2.287,2.404,2.437,2.469,2.533,2.721,2.799,2.874,2.976,3.02,3.111,3.144,3.179,3.453,3.609,3.757,3.794,3.858,3.957,3.991,4.167,4.336,4.497,4.575,4.698,4.75,4.85,4.873,4.925,4.965,5.143,5.28,5.31,5.401,5.486,5.586,6.063,6.166,6.193,6.247,6.273,6.292,6.341,6.411,6.448,6.531,6.688,6.73,6.803,6.886,6.907,6.959,7.076,7.133,7.295,7.383,7.419,7.488,7.651,7.735,7.764,7.839,7.881,7.949,7.971,7.989,8.028,8.086,8.167,8.194,8.253,8.354,8.385,8.477,8.531,8.603,8.691,8.775,8.814,8.859,8.886,8.921,8.937,9.011,9.071,9.191,9.265,9.302,9.336,9.37,9.455,9.495,9.58,9.71,9.751,9.81,9.933,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043,0.193,0.249,0.318,0.379,0.42,0.681,0.727,0.887,0.934,0.978,1.091,1.109,1.202,1.229,1.28,1.314,1.417,1.473,1.6,1.769,1.928,1.989,2.093,2.151,2.184,2.259,2.325,2.418,2.457,2.512,2.593,2.673,2.727,2.756,2.809,2.835,2.866,2.956,3.105,3.124,3.214,3.294,3.312,3.33,3.42,3.502,3.705,3.725,3.743,3.918,3.96,4.052,4.279,4.313,4.368,4.401,4.512,4.609,4.738,4.799,4.976,5.017,5.048,5.083,5.122,5.168,5.195,5.269,5.284,5.332,5.355,5.387,5.492,5.63,5.664,5.75,5.813,5.898,5.976,6.059,6.105,6.225,6.317,6.407,6.429,6.479,6.51,6.554,6.664,6.69,6.722,6.765,6.796,6.861,6.941,7.006,7.066,7.371,7.398,7.488,7.522,7.572,7.591,7.664,7.699,7.723,7.738,7.847,8.005,8.033,8.086,8.141,8.155,8.203,8.329,8.431,8.536,8.595,8.619,8.767,8.784,8.859,8.892,8.911,8.968,9.076,9.104,9.179,9.2,9.278,9.312,9.34,9.395,9.446,9.611,9.653,9.719,9.745,9.765,9.837,9.855,9.879,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043,0.093,0.196,0.281,0.425,0.462,0.516,0.572,0.615,0.653,0.736,0.798,0.844,0.868,0.907,0.976,1.01,1.038,1.096,1.127,1.172,1.207,1.239,1.31,1.391,1.468,1.526,1.565,1.708,1.754,1.832,1.85,1.899,2.007,2.047,2.068,2.113,2.468,2.557,2.656,2.693,2.723,2.753,2.889,2.991,3.027,3.102,3.276,3.292,3.356,3.412,3.475,3.509,3.547,3.576,3.618,3.731,3.798,3.84,3.861,3.883,3.961,4.02,4.069,4.132,4.204,4.283,4.316,4.332,4.445,4.463,4.513,4.551,4.585,4.607,4.652,4.685,4.814,5.06,5.11,5.203,5.345,5.382,5.423,5.5,5.63,5.674,5.765,5.849,6.021,6.085,6.108,6.149,6.186,6.258,6.291,6.312,6.464,6.546,6.673,6.757,6.794,6.832,6.887,6.951,7.084,7.119,7.191,7.275,7.327,7.387,7.411,7.449,7.474,7.495,7.544,7.566,7.64,7.765,7.832,7.86,7.993,8.04,8.118,8.18,8.207,8.251,8.303,8.353,8.404,8.445,8.534,8.723,8.737,8.753,8.782,8.844,8.961,9.059,9.094,9.231,9.308,9.341,9.465,9.564,9.589,9.611,9.681,9.706,9.736,9.761,9.805,9.896,nan,nan,nan
0.099,0.132,0.226,0.298,0.36,0.47,0.576,0.797,0.826,0.88,0.915,0.975,1.041,1.144,1.179,1.228,1.256,1.301,1.402,1.533,1.584,1.63,1.678,1.755,1.821,1.873,1.911,1.961,2.011,2.038,2.095,2.132,2.309,2.338,2.41,2.459,2.497,2.538,2.584,2.645,2.695,2.744,2.87,2.939,3.137,3.168,3.205,3.23,3.255,3.324,3.343,3.365,3.407,3.561,3.609,3.796,3.859,3.901,3.959,4.004,4.109,4.133,4.215,4.299,4.373,4.46,4.48,4.514,4.593,4.65,4.686,4.72,4.787,4.842,4.953,5.157,5.237,5.261,5.309,5.364,5.537,5.574,5.587,5.625,5.702,5.735,5.764,5.855,5.952,6.009,6.189,6.32,6.346,6.368,6.405,6.47,6.52,6.557,6.569,6.63,6.759,6.823,6.856,6.904,6.948,6.98,7.037,7.092,7.308,7.347,7.397,7.476,7.526,7.569,7.616,7.861,7.904,8.017,8.16,8.179,8.398,8.435,8.492,8.516,8.529,8.54,8.628,8.66,8.723,8.853,8.881,8.925,8.967,8.997,9.02,9.063,9.188,9.226,9.326,9.496,9.544,9.738,9.841,9.87,9.904,9.919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
