0.021,0.244,0.434,0.464,0.543,0.588,0.648,0.686,0.72,0.742,0.78,0.939,1.018,1.165,1.18,1.215,1.276,1.292,1.381,1.547,1.706,1.735,1.769,1.837,1.915,1.939,1.966,2.048,2.106,2.226,2.306,2.326,2.346,2.401,2.556,2.646,2.68,2.738,2.771,2.799,2.82,2.916,3.06,3.098,3.135,3.349,3.629,3.656,3.712,3.83,3.867,3.924,4.063,4.102,4.141,4.18,4.227,4.29,4.337,4.444,4.48,4.537,4.588,4.625,4.695,4.75,4.826,4.929,5.063,5.089,5.157,5.22,5.29,5.426,5.519,5.539,5.562,5.591,5.67,5.753,5.815,5.844,5.953,6.053,6.091,6.13,6.168,6.198,6.236,6.328,6.391,6.415,6.471,6.489,6.638,6.654,6.713,6.759,6.84,6.91,6.951,6.978,7.013,7.152,7.183,7.256,7.405,7.42,7.444,7.487,7.609,7.714,7.812,7.96,7.99,8.085,8.145,8.309,8.329,8.366,8.39,8.469,8.582,8.74,8.831,8.854,9.019,9.048,9.23,9.243,9.3,9.324,9.38,9.411,9.511,9.552,9.59,9.637,9.709,9.785,9.827,9.87,9.982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.346,0.391,0.477,0.544,0.559,0.804,0.826,0.883,0.927,0.978,1.042,1.131,1.254,1.309,1.394,1.473,1.496,1.528,1.548,1.568,1.656,1.693,1.724,1.754,1.803,1.83,1.944,1.985,2.065,2.097,2.138,2.181,2.271,2.325,2.594,2.681,2.724,2.817,2.833,2.9,2.919,2.96,3.037,3.072,3.108,3.125,3.154,3.176,3.214,3.26,3.306,3.379,3.415,3.52,3.564,3.576,3.598,3.651,3.675,3.709,3.756,3.806,3.889,3.962,4.046,4.07,4.164,4.2,4.271,4.295,4.47,4.538,4.575,4.627,4.866,4.893,5.058,5.158,5.355,5.372,5.397,5.59,5.787,6.011,6.093,6.28,6.398,6.419,6.475,6.513,6.568,6.59,6.62,6.632,6.754,6.796,6.831,6.932,7.038,7.094,7.266,7.352,7.382,7.425,7.478,7.504,7.579,7.618,7.648,7.683,7.717,7.749,7.806,7.866,7.907,7.96,8.017,8.162,8.281,8.324,8.428,8.444,8.47,8.491,8.532,8.552,8.59,8.664,8.779,8.81,8.874,8.999,9.232,9.27,9.305,9.335,9.378,9.424,9.468,9.499,9.679,9.724,9.795,9.842,9.881,9.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.122,0.179,0.235,0.302,0.34,0.396,0.427,0.468,0.535,0.637,0.682,0.729,0.805,0.892,0.968,1.004,1.081,1.127,1.177,1.287,1.325,1.358,1.394,1.413,1.434,1.471,1.49,1.525,1.617,1.745,1.768,1.792,1.809,1.95,2.019,2.088,2.143,2.225,2.259,2.415,2.451,2.518,2.576,2.738,2.868,3.002,3.145,3.259,3.292,3.337,3.366,3.45,3.493,3.533,3.601,3.69,3.727,3.781,3.843,4.061,4.098,4.238,4.278,4.309,4.352,4.431,4.504,4.606,4.641,4.657,4.839,4.879,4.91,5.051,5.132,5.317,5.356,5.445,5.529,5.586,5.652,5.788,5.832,5.885,5.916,6.022,6.365,6.412,6.469,6.597,6.707,6.749,6.818,6.999,7.022,7.049,7.099,7.138,7.22,7.294,7.5,7.572,7.667,7.809,7.835,7.861,8.005,8.139,8.178,8.206,8.454,8.518,8.655,8.793,8.812,8.836,9.081,9.125,9.165,9.248,9.301,9.4,9.447,9.533,9.572,9.588,9.62,9.639,9.669,9.741,9.956,9.973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.083,0.177,0.195,0.209,0.286,0.325,0.443,0.467,0.581,0.688,0.79,0.907,0.929,1.018,1.056,1.092,1.209,1.311,1.405,1.464,1.494,1.525,1.591,1.846,1.925,1.958,1.997,2.072,2.199,2.258,2.301,2.359,2.4,2.467,2.535,2.597,2.642,2.718,2.745,2.836,2.868,2.895,2.93,2.95,2.966,2.99,3.012,3.092,3.246,3.279,3.384,3.425,3.515,3.562,3.622,3.675,3.689,3.783,3.934,3.989,4.01,4.024,4.072,4.118,4.165,4.263,4.284,4.359,4.494,4.507,4.641,4.706,4.809,4.894,4.936,4.96,5.015,5.032,5.22,5.303,5.342,5.428,5.543,5.592,5.668,5.699,5.78,5.815,5.847,5.945,6.08,6.123,6.168,6.26,6.505,6.565,6.585,6.609,6.668,6.697,6.729,6.794,6.846,6.925,7.03,7.105,7.283,7.334,7.477,7.54,7.621,7.632,7.642,7.693,7.817,7.877,7.947,8.054,8.139,8.185,8.227,8.258,8.289,8.333,8.421,8.482,8.544,8.574,8.656,8.745,8.798,9.132,9.172,9.207,9.24,9.292,9.336,9.379,9.438,9.454,9.509,9.52,9.602,9.658,9.758,9.875,9.914,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.019,0.099,0.143,0.183,0.23,0.381,0.398,0.412,0.452,0.566,0.604,0.633,0.656,0.71,0.897,0.943,0.983,1.049,1.084,1.118,1.189,1.23,1.314,1.359,1.378,1.406,1.428,1.521,1.707,1.784,1.839,1.879,1.968,2.042,2.092,2.15,2.211,2.326,2.428,2.477,2.521,2.539,2.591,2.752,2.803,2.834,2.884,2.958,3.129,3.2,3.227,3.249,3.382,3.445,3.598,3.618,3.663,3.746,3.77,3.868,3.947,4.095,4.116,4.144,4.222,4.249,4.384,4.43,4.484,4.528,4.754,4.775,4.882,4.958,5.065,5.077,5.187,5.231,5.293,5.336,5.416,5.43,5.45,5.502,5.558,5.608,5.658,5.692,5.785,5.963,6.028,6.141,6.212,6.358,6.401,6.503,6.58,6.619,6.684,7.041,7.068,7.133,7.183,7.23,7.33,7.429,7.488,7.679,7.873,7.967,7.99,8.027,8.091,8.205,8.241,8.307,8.476,8.554,8.585,8.625,8.667,8.718,8.747,8.763,8.794,8.829,8.914,8.948,9.003,9.031,9.105,9.147,9.369,9.435,9.511,9.572,9.665,9.786,9.857,9.887,9.918,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.129,0.201,0.334,0.375,0.442,0.51,0.568,0.624,0.641,0.854,1.081,1.117,1.139,1.192,1.34,1.372,1.395,1.419,1.542,1.622,1.667,1.751,2.051,2.091,2.163,2.18,2.298,2.328,2.451,2.509,2.529,2.609,2.635,2.732,2.759,2.865,2.879,2.901,2.921,2.977,3.1,3.164,3.268,3.368,3.464,3.51,3.528,3.612,3.706,3.76,3.822,3.889,3.925,3.97,4.065,4.093,4.125,4.17,4.268,4.321,4.354,4.411,4.429,4.511,4.558,4.674,4.706,4.809,4.827,4.892,5.068,5.155,5.274,5.329,5.528,5.687,5.747,5.783,5.848,5.975,6.025,6.1,6.18,6.229,6.47,6.625,6.728,6.811,6.833,6.871,6.896,6.919,6.937,6.981,7.056,7.082,7.1,7.14,7.172,7.235,7.25,7.358,7.419,7.503,7.584,7.613,7.758,7.835,7.902,8.052,8.159,8.194,8.232,8.302,8.401,8.421,8.579,8.605,8.765,8.841,8.902,8.925,9.036,9.072,9.101,9.146,9.171,9.206,9.32,9.438,9.485,9.502,9.71,9.743,9.766,9.821,9.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.071,0.173,0.199,0.308,0.421,0.437,0.454,0.532,0.702,0.772,0.901,0.933,0.972,1.015,1.054,1.078,1.141,1.207,1.241,1.276,1.31,1.337,1.366,1.429,1.451,1.499,1.534,1.584,1.667,1.786,1.814,1.85,1.918,2.003,2.065,2.078,2.159,2.219,2.279,2.317,2.417,2.452,2.536,2.571,2.631,2.749,2.789,2.89,2.957,3.164,3.35,3.471,3.526,3.558,3.687,3.731,3.797,3.864,3.915,3.984,4.014,4.056,4.09,4.155,4.177,4.28,4.311,4.415,4.476,4.507,4.664,4.771,4.793,4.828,4.939,4.967,5.008,5.1,5.167,5.192,5.216,5.29,5.348,5.373,5.463,5.57,5.788,5.91,5.962,5.983,6.069,6.226,6.263,6.315,6.366,6.423,6.457,6.512,6.683,6.743,6.786,6.925,7.067,7.111,7.284,7.329,7.355,7.375,7.48,7.506,7.549,7.591,7.709,7.806,7.842,7.933,7.953,7.972,8.007,8.032,8.09,8.118,8.139,8.173,8.202,8.237,8.359,8.404,8.432,8.475,8.495,8.64,8.725,8.781,8.844,8.886,8.94,8.973,9.061,9.185,9.261,9.3,9.343,9.386,9.464,9.486,9.574,9.608,9.632,9.661,9.746,9.814,9.829,9.868,9.96,nan,nan,nan,nan,nan,nan
0.26,0.301,0.38,0.574,0.799,0.817,1.005,1.157,1.24,1.316,1.397,1.569,1.599,1.616,1.676,1.7,1.745,1.971,2.06,2.142,2.262,2.412,2.467,2.628,2.74,2.828,2.89,2.947,2.967,3.027,3.095,3.141,3.249,3.307,3.326,3.384,3.409,3.444,3.613,3.653,3.812,3.893,3.949,4.017,4.078,4.095,4.128,4.185,4.333,4.365,4.392,4.446,4.561,4.613,4.709,4.917,4.987,5.069,5.22,5.238,5.306,5.377,5.512,5.531,5.583,5.61,5.631,5.684,5.714,5.746,5.806,5.957,6.101,6.168,6.232,6.272,6.339,6.465,6.508,6.697,6.785,6.87,6.956,7.076,7.108,7.228,7.308,7.331,7.404,7.462,7.539,7.594,7.67,7.713,7.9,7.929,8.026,8.05,8.129,8.186,8.258,8.294,8.371,8.564,8.605,8.619,8.644,8.737,8.762,8.794,8.863,8.908,9.192,9.509,9.599,9.714,9.736,9.793,9.895,9.922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.153,0.246,0.323,0.41,0.509,0.605,0.63,0.663,0.712,0.781,1.0,1.045,1.185,1.244,1.38,1.492,1.535,1.621,1.767,1.807,1.839,1.893,1.923,1.97,1.995,2.021,2.098,2.146,2.282,2.302,2.366,2.417,2.487,2.522,2.604,2.706,2.787,3.003,3.024,3.078,3.11,3.15,3.219,3.319,3.338,3.369,3.568,3.766,3.852,3.87,3.963,4.049,4.132,4.152,4.2,4.264,4.287,4.345,4.428,4.49,4.66,4.871,4.937,4.963,5.021,5.075,5.181,5.234,5.259,5.296,5.406,5.452,5.506,5.557,5.596,5.644,5.688,5.717,5.742,5.806,5.906,6.009,6.073,6.156,6.224,6.391,6.432,6.529,6.634,6.654,6.697,6.845,6.927,6.947,6.96,6.975,7.047,7.142,7.206,7.261,7.306,7.371,7.504,7.533,7.639,7.722,7.782,8.016,8.045,8.202,8.254,8.4,8.462,8.49,8.55,8.669,8.692,8.712,8.778,8.82,8.851,8.926,8.992,9.031,9.175,9.308,9.535,9.62,9.66,9.76,9.794,9.835,9.859,9.891,9.931,9.982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.124,0.204,0.28,0.307,0.367,0.496,0.569,0.593,0.663,0.727,0.759,0.798,0.937,0.983,1.022,1.042,1.207,1.291,1.464,1.54,1.781,1.801,1.83,1.886,1.943,1.968,2.024,2.245,2.292,2.323,2.344,2.387,2.423,2.5,2.581,2.683,2.73,2.809,2.911,2.961,3.12,3.166,3.237,3.298,3.528,3.593,3.746,3.808,3.86,3.935,3.966,4.003,4.025,4.094,4.111,4.232,4.39,4.433,4.479,4.603,4.623,4.665,4.772,4.795,4.831,4.872,4.952,5.054,5.181,5.247,5.305,5.346,5.413,5.475,5.548,5.846,5.88,5.948,5.988,6.041,6.107,6.2,6.225,6.387,6.411,6.534,6.574,6.694,6.727,6.769,6.847,6.92,7.036,7.101,7.298,7.377,7.481,7.577,7.599,7.663,7.768,7.788,7.818,7.993,8.092,8.306,8.434,8.475,8.518,8.544,8.611,8.799,8.853,8.916,8.942,9.0,9.047,9.099,9.25,9.314,9.342,9.383,9.439,9.527,9.792,9.835,9.979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
