0.061,0.159,0.209,0.269,0.316,0.337,0.377,0.502,0.527,0.806,0.862,0.905,0.984,1.05,1.122,1.151,1.293,1.34,1.394,1.444,1.56,1.659,1.764,1.799,1.846,1.862,1.925,1.981,2.099,2.151,2.246,2.341,2.492,2.537,2.639,2.674,2.719,2.789,2.837,2.892,2.945,3.06,3.164,3.233,3.31,3.442,3.494,3.546,3.612,3.745,3.785,3.81,3.859,3.971,3.992,4.029,4.07,4.168,4.259,4.47,4.517,4.749,4.779,4.818,4.95,4.999,5.035,5.083,5.121,5.179,5.258,5.273,5.308,5.445,5.55,5.627,5.656,5.676,5.706,5.851,6.013,6.056,6.19,6.233,6.387,6.448,6.492,6.518,6.578,6.647,6.68,6.778,6.826,6.896,6.937,7.01,7.111,7.228,7.286,7.34,7.382,7.409,7.451,7.488,7.674,7.721,7.759,7.854,7.886,7.907,7.983,8.161,8.357,8.454,8.568,8.679,8.835,8.915,9.008,9.051,9.204,9.303,9.355,9.52,9.549,9.652,9.669,9.72,9.792,9.826,9.892,9.953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.149,0.278,0.341,0.551,0.595,0.65,0.68,0.921,1.001,1.113,1.162,1.176,1.252,1.304,1.323,1.427,1.472,1.506,1.528,1.599,1.619,1.655,1.737,1.821,1.855,1.898,1.988,2.13,2.208,2.286,2.342,2.37,2.398,2.554,2.628,2.701,2.791,2.823,2.926,2.946,3.0,3.103,3.152,3.188,3.205,3.236,3.288,3.384,3.548,3.688,3.715,3.988,4.101,4.188,4.254,4.374,4.403,4.433,4.451,4.584,4.644,4.667,4.71,4.757,4.774,4.805,4.843,4.882,4.967,5.008,5.046,5.094,5.146,5.164,5.19,5.224,5.334,5.424,5.44,5.476,5.498,5.559,5.651,5.738,5.84,5.977,6.045,6.072,6.176,6.218,6.303,6.317,6.402,6.433,6.471,6.691,6.722,6.781,6.806,6.894,6.958,6.995,7.015,7.09,7.135,7.18,7.213,7.313,7.36,7.408,7.43,7.484,7.5,7.586,7.657,7.717,7.783,7.884,7.907,7.943,7.967,7.986,8.035,8.066,8.151,8.34,8.407,8.444,8.491,8.62,8.675,8.696,8.733,8.863,8.976,9.005,9.037,9.09,9.151,9.188,9.233,9.305,9.336,9.408,9.48,9.51,9.637,9.702,9.776,9.876,9.957,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.119,0.163,0.206,0.272,0.464,0.519,0.591,0.63,0.728,0.942,0.98,1.017,1.092,1.142,1.252,1.29,1.374,1.441,1.469,1.554,1.707,1.769,1.818,1.971,2.04,2.121,2.145,2.288,2.351,2.4,2.48,2.518,2.562,2.659,2.719,2.798,2.838,2.962,2.99,3.055,3.124,3.244,3.33,3.371,3.422,3.454,3.487,3.646,3.69,3.763,3.863,3.911,3.949,3.965,4.001,4.076,4.102,4.143,4.201,4.253,4.268,4.323,4.434,4.479,4.511,4.541,4.716,4.747,4.777,4.929,5.003,5.115,5.169,5.386,5.433,5.456,5.624,5.655,5.753,5.81,5.836,5.886,5.923,5.94,5.98,6.009,6.054,6.198,6.245,6.292,6.374,6.415,6.47,6.65,6.712,6.999,7.091,7.147,7.306,7.398,7.435,7.465,7.503,7.555,7.585,7.667,7.843,7.902,8.133,8.266,8.321,8.405,8.515,8.63,8.649,8.907,8.972,9.123,9.144,9.197,9.263,9.305,9.344,9.411,9.475,9.492,9.543,9.574,9.744,9.856,9.939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.086,0.152,0.182,0.222,0.27,0.408,0.551,0.644,0.677,0.723,0.835,0.943,1.088,1.251,1.277,1.404,1.442,1.488,1.516,1.62,1.715,1.855,1.918,2.111,2.22,2.251,2.311,2.357,2.495,2.602,2.744,2.773,2.845,2.888,2.917,2.986,3.023,3.051,3.102,3.134,3.272,3.313,3.352,3.369,3.443,3.506,3.684,3.819,3.877,3.945,4.034,4.085,4.246,4.271,4.301,4.417,4.488,4.515,4.526,4.623,4.696,4.746,4.847,4.878,4.93,4.993,5.043,5.067,5.127,5.148,5.195,5.245,5.49,5.715,5.825,5.885,5.971,6.01,6.066,6.24,6.252,6.283,6.358,6.393,6.482,6.526,6.582,6.628,6.75,6.864,6.897,7.068,7.164,7.184,7.21,7.362,7.442,7.582,7.791,7.835,7.882,7.908,8.0,8.13,8.287,8.367,8.406,8.428,8.474,8.491,8.529,8.602,8.712,8.755,8.786,8.822,8.876,8.932,9.007,9.087,9.145,9.194,9.221,9.293,9.397,9.445,9.523,9.55,9.764,9.825,9.869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.047,0.1,0.243,0.317,0.348,0.506,0.534,0.575,0.653,0.669,0.699,0.747,0.897,1.081,1.142,1.17,1.524,1.549,1.662,1.7,1.749,1.792,1.819,1.87,1.918,1.936,2.031,2.15,2.198,2.295,2.31,2.331,2.36,2.437,2.556,2.596,2.747,2.806,2.897,2.922,2.966,3.019,3.283,3.356,3.374,3.478,3.496,3.576,3.721,3.925,3.995,4.013,4.093,4.224,4.271,4.463,4.505,4.617,4.677,4.733,4.794,4.851,4.914,4.948,5.058,5.097,5.136,5.155,5.197,5.28,5.352,5.37,5.406,5.452,5.472,5.689,5.71,5.829,5.993,6.049,6.088,6.119,6.35,6.378,6.462,6.516,6.763,6.784,6.832,6.867,6.941,7.143,7.166,7.252,7.294,7.442,7.466,7.637,7.693,7.871,7.95,8.102,8.266,8.328,8.411,8.498,8.531,8.558,8.59,8.625,8.673,8.738,8.879,9.017,9.066,9.15,9.265,9.594,9.724,9.803,9.905,9.945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.052,0.113,0.196,0.225,0.291,0.324,0.353,0.456,0.478,0.521,0.581,0.61,0.648,0.667,0.786,0.835,0.883,0.962,1.112,1.179,1.214,1.309,1.43,1.465,1.745,2.045,2.081,2.126,2.172,2.215,2.254,2.299,2.344,2.385,2.422,2.451,2.63,2.737,2.813,2.944,2.968,2.995,3.053,3.091,3.21,3.284,3.321,3.389,3.487,3.519,3.606,3.775,4.005,4.057,4.136,4.21,4.246,4.261,4.312,4.331,4.429,4.517,4.609,4.679,4.702,4.741,4.757,4.789,4.978,5.085,5.121,5.192,5.221,5.28,5.325,5.388,5.41,5.607,5.643,5.663,5.681,5.735,5.799,6.299,6.339,6.367,6.433,6.461,6.531,6.567,6.612,6.775,6.787,6.821,6.873,6.909,7.003,7.047,7.078,7.19,7.235,7.367,7.434,7.557,7.591,7.665,7.71,7.869,8.005,8.079,8.123,8.221,8.252,8.364,8.391,8.424,8.483,8.729,8.916,8.931,8.952,8.975,9.054,9.091,9.144,9.195,9.536,9.694,9.728,9.782,9.968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027,0.068,0.147,0.19,0.312,0.333,0.361,0.396,0.427,0.467,0.532,0.693,0.759,0.802,0.828,0.898,1.037,1.102,1.126,1.145,1.237,1.276,1.36,1.397,1.507,1.579,1.646,1.77,1.839,1.981,2.062,2.1,2.201,2.253,2.278,2.308,2.382,2.458,2.47,2.499,2.587,2.645,2.733,2.762,2.828,2.906,2.954,3.003,3.063,3.169,3.239,3.351,3.492,3.542,3.571,3.606,3.652,3.683,3.779,3.852,3.922,4.025,4.067,4.09,4.146,4.168,4.24,4.458,4.551,4.585,4.636,4.668,4.702,4.771,4.824,4.959,4.978,5.153,5.236,5.276,5.317,5.389,5.43,5.533,5.593,5.626,5.676,5.7,5.728,5.751,5.801,5.883,5.948,5.97,6.02,6.044,6.091,6.148,6.374,6.401,6.485,6.518,6.591,6.61,6.646,6.713,6.762,6.811,6.846,6.966,7.062,7.09,7.187,7.239,7.264,7.287,7.358,7.433,7.471,7.518,7.606,7.667,7.786,7.875,7.912,7.976,8.028,8.08,8.115,8.149,8.437,8.471,8.491,8.574,8.592,8.621,8.651,8.701,8.716,8.854,9.093,9.152,9.176,9.315,9.429,9.466,9.542,9.562,9.609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.047,0.065,0.126,0.178,0.194,0.301,0.378,0.413,0.455,0.483,0.624,0.66,0.696,0.949,1.122,1.195,1.305,1.351,1.365,1.429,1.481,1.549,1.583,1.613,1.648,1.707,1.718,1.771,1.887,1.916,2.063,2.126,2.24,2.267,2.329,2.361,2.444,2.517,2.609,2.775,2.827,2.879,3.127,3.17,3.191,3.258,3.318,3.365,3.397,3.418,3.473,3.502,3.557,3.583,3.657,3.724,3.788,3.873,3.909,3.947,4.091,4.134,4.195,4.24,4.441,4.479,4.563,4.615,4.677,4.836,4.865,4.879,4.954,4.984,5.041,5.072,5.1,5.126,5.204,5.256,5.345,5.376,5.433,5.507,5.579,5.651,5.692,5.744,5.816,5.861,5.947,6.057,6.095,6.137,6.185,6.211,6.231,6.292,6.333,6.383,6.435,6.578,6.636,6.694,6.835,6.886,6.912,7.045,7.07,7.102,7.188,7.228,7.284,7.322,7.407,7.567,7.654,7.716,7.831,7.97,8.007,8.12,8.151,8.237,8.287,8.394,8.487,8.507,8.532,8.583,8.672,8.762,8.804,8.895,8.958,8.993,9.013,9.031,9.111,9.138,9.176,9.205,9.226,9.31,9.345,9.394,9.471,9.507,9.547,9.628,9.672,9.754,9.812,9.841,9.886,9.93,9.993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.058,0.093,0.21,0.302,0.334,0.404,0.475,0.521,0.549,0.669,0.707,0.726,0.823,1.031,1.06,1.083,1.108,1.149,1.266,1.292,1.519,1.589,1.626,1.67,1.774,1.865,1.96,2.025,2.057,2.098,2.21,2.259,2.502,2.541,2.575,2.633,2.825,2.957,3.003,3.078,3.105,3.133,3.201,3.244,3.274,3.326,3.414,3.513,3.587,3.621,3.837,3.886,3.998,4.049,4.077,4.135,4.165,4.28,4.338,4.442,4.481,4.606,4.644,4.659,4.714,4.756,4.84,4.995,5.017,5.082,5.227,5.261,5.28,5.352,5.388,5.484,5.564,5.595,5.687,5.736,5.8,5.905,5.978,5.99,6.03,6.075,6.137,6.173,6.262,6.341,6.371,6.504,6.608,6.772,6.864,6.994,7.08,7.205,7.268,7.333,7.363,7.401,7.482,7.567,7.606,7.67,7.912,7.953,7.998,8.046,8.198,8.282,8.305,8.339,8.512,8.551,8.609,8.647,8.673,8.834,8.896,8.951,9.017,9.215,9.341,9.459,9.49,9.667,9.79,9.831,9.905,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.103,0.14,0.282,0.375,0.509,0.631,0.697,0.737,0.761,0.798,0.902,0.984,1.024,1.188,1.232,1.379,1.433,1.467,1.482,1.518,1.54,1.581,1.67,1.739,1.815,1.869,1.912,2.03,2.082,2.149,2.245,2.302,2.397,2.426,2.511,2.532,2.582,2.667,2.822,2.955,3.002,3.12,3.189,3.363,3.442,3.524,3.578,3.608,3.773,3.807,3.861,4.038,4.091,4.182,4.285,4.597,4.731,4.748,4.837,4.902,4.972,5.003,5.12,5.143,5.193,5.252,5.293,5.35,5.481,5.555,5.635,5.662,5.71,5.745,5.776,5.876,5.916,5.975,6.111,6.123,6.167,6.291,6.33,6.364,6.403,6.424,6.527,6.568,6.596,6.649,6.748,6.814,6.883,6.994,7.133,7.177,7.205,7.28,7.372,7.421,7.495,7.591,7.631,7.707,7.809,7.849,7.998,8.027,8.077,8.117,8.182,8.233,8.265,8.313,8.364,8.392,8.434,8.494,8.524,8.62,8.72,8.753,8.806,8.878,8.902,8.923,8.946,8.976,9.111,9.147,9.176,9.296,9.385,9.4,9.435,9.454,9.501,9.549,9.619,9.656,9.775,9.882,9.921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
