0.031,0.567,0.916,1.059,1.171,1.466,1.654,2.052,2.431,2.666,3.019,3.13,3.315,3.651,3.733,4.438,4.46,4.481,4.565,4.7,4.74,4.907,5.175,5.205,5.338,5.387,5.442,5.514,5.643,5.788,6.225,6.335,6.372,6.483,6.598,6.738,6.791,6.865,7.004,7.041,7.672,7.823,8.124,8.231,8.346,8.376,8.918,9.089,9.333,9.623,9.707,9.948,10.948,11.048,11.184,11.378,11.586,11.824,12.253,12.36,12.508,12.549,12.585,12.702,12.859,13.352,13.444,13.633,13.765,13.824,14.522,14.56,14.735,14.883,15.042,15.223,15.26,15.291,15.329,15.555,15.674,16.31,16.335,16.406,16.657,16.802,16.968,17.251,17.665,17.705,17.896,17.936,18.171,18.309,18.568,18.739,18.903,18.92,18.999,19.507,19.689,19.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.37,0.409,0.728,0.846,0.903,1.415,1.719,2.273,2.36,2.443,2.966,3.089,3.509,3.841,3.919,4.301,4.325,4.35,4.418,4.695,4.794,4.95,5.124,5.163,5.344,5.382,5.989,6.026,6.074,6.104,6.309,6.582,6.645,6.73,6.79,6.84,7.073,7.357,7.647,7.832,7.923,8.149,8.332,8.487,8.903,9.143,9.334,9.578,9.599,10.384,10.514,10.812,11.348,11.447,11.562,11.83,12.155,12.296,12.554,12.652,12.907,13.313,13.56,13.651,14.105,14.441,14.624,15.208,15.408,15.666,15.71,15.78,15.81,15.88,15.941,16.373,16.632,17.151,17.207,17.372,17.41,17.809,17.857,17.912,17.997,18.172,18.49,19.304,19.461,19.576,19.951,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2,0.36,0.551,0.785,0.858,1.244,1.393,1.432,1.544,1.772,1.838,1.951,2.07,2.122,2.857,3.061,3.377,3.44,3.609,3.774,3.842,3.996,4.152,4.192,4.497,4.59,4.859,4.891,5.15,5.211,5.295,5.373,5.57,5.774,6.018,6.112,6.191,6.413,6.673,6.752,6.885,7.383,7.423,7.46,7.578,7.627,7.676,7.78,7.983,8.239,8.476,8.616,8.746,10.104,10.238,10.283,10.396,10.663,11.068,11.337,11.612,11.676,11.733,11.817,11.875,12.021,12.208,12.239,12.301,13.117,13.573,13.596,13.774,13.993,14.064,14.13,14.214,14.363,14.682,14.752,14.899,14.955,15.105,15.169,15.898,16.282,16.313,16.399,16.441,16.516,16.672,16.808,16.84,17.032,17.099,17.478,17.638,17.754,17.785,17.814,17.978,18.028,18.264,18.403,18.478,18.648,18.948,18.984,19.152,19.207,19.333,19.472,19.593,19.801,19.823,nan
0.228,0.292,0.447,0.717,0.764,1.123,1.309,1.394,1.579,1.608,1.987,2.206,2.571,2.631,2.748,2.875,2.959,3.241,3.523,3.622,4.005,4.354,4.659,4.793,5.066,5.132,5.169,5.222,5.331,6.155,6.244,6.277,6.333,6.48,6.883,7.097,7.339,7.438,7.546,7.696,7.943,8.178,8.266,8.357,8.407,8.509,8.563,8.589,8.725,8.769,8.808,9.146,9.47,9.808,9.821,10.034,10.85,10.953,10.992,11.088,11.139,11.311,11.539,11.624,11.843,12.226,12.565,12.668,12.837,13.101,13.591,13.828,13.903,13.945,14.118,14.192,15.016,15.083,15.236,15.503,16.071,16.196,16.246,16.365,16.827,16.964,17.091,17.281,17.314,17.544,17.813,18.257,18.282,18.342,18.454,18.705,18.924,19.294,19.376,19.403,19.459,19.6,19.697,19.931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.233,0.603,0.707,0.749,0.858,0.916,1.122,1.571,1.634,1.768,1.886,1.941,2.026,2.441,2.518,2.775,2.931,2.986,3.067,3.18,3.455,3.485,3.598,3.628,3.963,4.041,4.1,4.617,4.65,4.667,4.844,4.923,5.109,5.375,5.613,5.717,5.779,5.815,5.862,6.103,6.5,6.581,6.813,7.224,7.709,7.868,8.101,8.236,8.57,8.607,8.934,8.99,9.202,9.543,10.371,10.533,10.579,11.201,11.336,11.531,12.687,12.791,12.845,13.018,13.072,13.118,13.288,13.412,13.933,14.145,14.448,14.486,14.608,14.741,14.891,15.267,15.461,15.498,15.746,16.09,16.628,16.687,16.748,16.766,16.826,16.86,17.185,17.236,17.811,17.87,17.918,18.076,18.249,18.305,18.56,19.091,19.324,19.494,19.73,19.972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.301,0.44,0.562,0.776,1.048,1.179,2.128,2.155,2.252,2.504,2.929,2.963,3.43,3.487,4.136,4.413,4.469,4.713,4.909,5.022,5.358,5.539,5.672,5.744,5.927,6.087,6.278,6.547,6.719,7.093,7.142,7.385,7.794,8.018,8.288,8.324,8.41,8.844,8.927,9.076,9.195,9.389,9.435,9.541,9.625,9.743,10.061,10.353,10.856,11.0,11.582,11.601,11.84,11.968,12.077,12.106,12.242,12.575,12.614,12.746,12.812,13.174,14.166,14.259,14.461,14.619,14.749,14.845,14.963,15.185,15.606,15.917,16.058,16.238,16.272,16.446,16.669,16.943,17.141,17.245,17.267,17.581,17.602,17.712,17.777,17.977,18.435,18.755,18.967,19.298,19.383,19.692,19.767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.367,0.706,0.847,0.958,1.506,1.559,1.814,2.039,2.127,2.412,2.548,2.702,2.806,2.904,3.079,3.356,3.594,3.765,3.892,3.937,4.146,4.324,4.359,4.383,4.414,4.75,4.823,4.849,4.932,5.119,5.201,5.451,5.728,5.79,5.815,5.935,6.212,6.252,6.281,6.71,7.273,7.319,7.661,7.874,8.004,8.142,8.297,8.433,8.782,8.857,8.917,9.096,9.336,9.369,9.539,9.59,9.799,9.865,10.006,10.31,10.341,10.565,10.714,10.91,11.052,11.131,11.357,11.579,11.603,11.763,11.811,12.106,12.264,12.579,12.735,12.841,12.892,13.208,13.257,13.484,13.555,13.626,13.701,13.909,13.98,14.198,14.252,15.424,15.475,15.55,15.722,16.357,16.63,16.675,16.945,17.289,17.848,18.06,18.125,18.228,18.338,18.384,18.829,19.265,19.448,19.74,19.769,19.984,nan,nan,nan,nan,nan,nan,nan
0.173,0.199,0.443,0.663,0.85,0.948,1.042,1.104,1.588,1.629,1.695,1.773,1.805,1.861,2.27,2.46,2.611,2.644,2.722,2.757,3.043,3.127,3.195,3.3,3.581,3.74,4.094,4.312,4.494,5.122,5.165,5.553,5.774,5.88,6.068,6.136,6.366,6.547,6.617,6.897,7.009,7.057,7.195,7.397,7.768,7.879,8.039,8.268,8.366,9.032,9.176,9.194,9.491,9.6,9.789,9.832,9.87,10.353,10.417,10.461,10.496,10.725,10.834,11.224,11.465,11.608,11.774,11.823,12.157,12.645,13.073,13.456,13.527,13.669,13.813,13.945,13.987,14.018,14.066,14.095,14.157,14.263,14.455,15.052,15.231,15.265,15.358,15.422,15.537,15.676,15.882,16.392,16.52,16.604,16.664,17.111,17.216,17.353,17.484,17.691,17.802,18.425,18.522,18.578,18.763,18.835,18.895,19.087,19.145,19.178,19.218,19.859,19.907,19.937,nan,nan
0.047,0.131,0.288,0.382,0.696,0.95,1.15,1.24,1.332,1.601,1.635,1.758,1.823,1.845,2.12,2.261,2.56,2.728,3.001,3.268,3.389,3.424,3.538,3.595,4.157,4.338,4.37,4.451,4.528,4.721,4.755,4.796,4.94,5.01,5.468,5.617,5.906,5.961,6.187,6.571,6.597,6.94,7.092,7.143,7.241,7.47,7.994,8.015,8.063,9.01,9.206,9.353,9.565,9.842,10.047,10.655,11.105,11.137,11.309,12.177,12.224,12.355,12.673,12.835,12.914,13.661,13.739,13.907,14.047,14.464,14.665,14.781,14.992,15.095,15.282,15.336,15.418,15.565,15.951,16.217,16.249,16.375,16.71,16.92,17.023,17.192,17.498,17.548,17.683,17.937,17.989,18.148,18.265,18.52,18.971,19.092,19.119,19.216,19.299,19.417,19.481,19.827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.205,0.252,0.348,0.57,0.597,1.07,1.287,1.843,1.937,2.039,2.302,2.532,2.681,2.924,2.959,4.12,4.405,4.505,4.632,4.732,4.803,5.043,5.214,5.269,5.714,5.775,5.941,6.016,6.219,6.386,6.898,6.935,7.224,7.485,7.663,7.701,7.812,7.952,8.041,8.428,8.626,8.66,8.914,8.958,9.633,9.9,10.145,10.26,10.379,10.421,10.577,10.656,10.88,11.557,11.609,11.645,11.703,11.789,11.966,12.018,12.337,12.736,12.904,13.075,13.215,13.352,13.405,13.682,13.79,13.826,13.87,13.979,14.195,14.29,14.343,14.716,15.193,15.246,15.654,15.796,16.091,16.257,16.5,16.582,16.692,16.861,16.94,16.977,17.065,17.53,17.935,18.549,18.6,18.872,19.081,19.57,19.882,19.924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
